,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29
275,0,5,0,?,0,0,?,8,2,6,1,6,?,?,6,6,0,?,1,0,8,8,7,1,0,0,8,5,1,0
276,7,7,?,1,0,?,7,2,2,6,1,6,?,?,?,6,0,0,1,0,8,?,7,1,0,0,1,5,1,0
279,0,7,5,0,0,0,1,8,8,4,4,8,3,?,6,5,8,0,1,0,8,2,6,3,0,0,8,5,1,4
282,7,7,?,1,0,3,5,8,?,4,1,6,?,4,6,3,7,0,1,0,?,0,7,?,0,0,8,5,1,5
283,7,7,0,1,0,0,5,8,2,4,1,0,5,4,6,6,7,0,1,5,8,0,7,1,0,0,8,5,1,5
285,0,2,6,0,3,2,6,3,4,4,7,?,0,0,1,5,1,6,0,?,3,0,6,8,?,1,5,5,1,4
286,0,7,?,0,5,0,0,8,2,4,8,0,7,5,0,4,3,0,4,0,8,0,7,1,0,0,8,5,1,4
287,0,7,?,0,5,?,0,8,2,4,8,0,7,5,0,3,?,0,1,0,?,0,7,7,0,0,8,5,?,4
288,?,7,0,1,0,0,0,8,2,4,1,5,?,0,6,6,0,0,4,7,8,0,?,1,0,1,8,5,0,4
291,5,7,5,1,0,7,7,8,2,4,7,8,3,4,6,6,0,1,?,5,8,0,7,1,0,1,8,5,3,4
292,2,7,5,7,0,0,5,8,?,4,?,1,7,0,0,5,1,?,1,0,8,0,?,1,4,0,8,5,1,3
293,2,?,5,?,0,0,0,5,2,6,0,5,7,0,0,5,0,?,8,0,8,0,6,1,0,0,8,5,1,2
294,7,7,1,3,0,4,7,8,2,4,1,6,1,4,2,6,0,0,1,0,?,0,5,1,0,0,8,5,1,0
295,1,7,1,1,0,5,7,8,2,4,1,3,1,4,6,6,0,0,1,0,8,?,7,1,?,0,5,?,8,0
296,7,7,0,?,0,0,0,8,2,4,1,6,2,4,6,6,7,0,1,0,8,0,7,1,0,0,8,?,1,0
297,7,7,0,1,5,0,0,8,2,4,1,6,1,4,6,6,4,0,1,0,8,0,7,1,0,0,8,5,1,0
299,5,1,2,1,1,0,0,8,2,8,1,0,1,8,6,6,0,0,1,5,8,0,?,1,0,1,8,0,1,4
300,?,7,6,5,0,?,0,3,4,2,?,7,0,0,1,7,1,6,2,3,8,8,0,4,0,0,7,5,1,4
301,7,4,6,5,0,2,0,3,4,2,?,7,0,0,1,7,3,6,2,3,8,8,8,4,0,1,7,5,1,4
302,0,7,0,0,?,0,1,8,2,1,1,3,5,1,6,6,0,7,1,0,8,3,7,7,8,2,8,5,?,0
303,0,?,0,0,?,0,0,8,?,4,1,3,5,1,6,4,0,7,1,4,8,3,7,1,1,0,8,5,?,0
304,0,7,0,2,0,?,0,8,2,4,1,6,1,4,6,6,8,0,1,4,8,0,7,1,0,0,8,5,1,1
