cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,1,0,4,0,7,2,0,0,0,7
n15,1,0,4,4,7,2,9,0,0,7
n18,1,5,4,0,7,2,7,0,8,7
n17,1,5,4,1,7,2,0,0,8,7
n22,1,5,4,0,7,2,0,1,0,7
n21,1,3,4,0,7,2,0,1,9,7
n24,1,0,4,0,7,2,0,0,0,7
n23,1,0,4,0,7,2,0,0,0,7
n30,1,0,4,0,7,10,1,5,2,7
n29,1,0,4,0,7,10,1,5,2,7
n32,1,0,4,10,7,10,1,0,2,7
n31,1,0,4,10,7,10,1,0,2,7
n36,1,0,4,1,7,0,0,0,2,7
n35,1,0,4,0,7,0,2,2,2,7
n38,1,3,4,2,7,0,8,8,2,7
n37,1,0,4,2,7,0,8,0,2,7
n46,1,0,4,7,7,0,0,0,0,7
n45,1,0,4,7,7,0,0,0,0,7
n48,1,0,4,7,7,0,0,0,10,7
n47,1,0,4,7,7,0,0,6,0,7
n52,1,0,4,5,7,10,6,9,0,7
n51,1,0,4,0,7,10,6,9,0,7
n54,1,0,4,0,7,10,0,9,0,7
n53,1,0,4,0,7,10,0,9,0,7
n60,1,9,4,0,7,6,0,8,0,7
n59,1,0,4,0,7,0,0,8,0,7
n62,1,0,4,0,7,9,3,4,0,7
n61,1,0,4,0,7,0,0,4,0,7
n66,1,0,4,0,7,0,4,0,0,7
n65,1,0,4,0,7,0,4,0,0,7
n68,1,0,4,0,7,0,0,0,0,7
n67,1,10,4,0,7,0,0,0,0,7
n78,1,10,3,0,7,0,9,5,6,7
n77,1,10,3,0,7,2,9,0,6,7
n80,1,0,3,0,7,0,9,0,6,7
n79,1,0,3,0,7,0,9,0,6,7
n84,1,9,3,4,7,8,9,0,6,7
n83,1,9,3,4,7,8,9,0,6,7
n86,1,0,3,4,7,8,9,0,6,7
n85,1,0,3,4,7,8,9,2,6,7
n92,1,7,3,0,7,4,8,4,6,7
n91,1,7,3,0,7,4,0,4,6,7
n94,1,5,3,0,7,4,0,4,6,7
n93,1,0,3,0,7,4,0,4,6,7
n98,1,0,3,5,7,0,9,0,6,7
n97,1,0,3,5,7,0,9,0,6,7
n100,1,0,3,5,7,5,9,10,6,7
n99,1,0,3,5,7,0,9,10,6,7
n108,1,3,3,0,7,6,0,6,6,7
n107,1,3,3,0,7,6,9,6,6,7
n110,1,3,3,0,7,6,0,6,6,7
