cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,2,10,10,9,5,2,1,2,7,0
n15,2,10,10,5,0,2,1,2,7,0
n18,2,10,10,0,7,2,1,2,7,0
n17,2,10,10,0,7,2,1,2,7,0
n22,2,10,10,1,4,2,1,2,7,0
n21,2,10,10,0,4,2,1,2,7,0
n24,2,10,10,5,4,2,1,2,7,0
n23,2,10,10,6,4,2,1,2,7,0
n30,2,10,10,4,2,7,1,2,0,6
n29,2,10,10,4,2,7,1,2,2,5
n32,2,10,10,4,2,0,1,2,0,0
n31,2,10,10,4,2,0,1,2,0,0
n36,2,10,10,4,8,0,1,2,0,0
n35,2,10,10,4,8,0,1,2,0,1
n38,2,10,10,4,8,0,1,2,0,0
n37,2,10,10,4,8,0,1,2,0,0
n46,2,10,10,0,0,2,1,4,10,3
n45,2,10,10,3,9,2,1,4,0,3
n48,2,10,10,3,1,2,1,4,0,3
n47,2,10,10,3,0,2,1,4,0,3
n52,2,10,10,0,0,2,1,4,1,0
n51,2,10,10,6,0,2,1,4,1,0
n54,2,10,10,1,4,2,1,4,8,3
n53,2,10,10,1,4,2,1,4,8,3
n60,2,10,10,3,0,0,1,4,0,1
n59,2,10,10,1,0,0,1,4,0,1
n62,2,10,10,0,3,8,1,4,4,1
n61,2,10,10,0,3,4,1,4,4,1
n66,2,10,10,1,8,0,1,4,0,0
n65,2,10,10,0,8,0,1,4,5,0
n68,2,10,10,0,8,0,1,4,0,0
n67,2,10,10,3,8,9,1,4,0,0
n78,2,10,10,4,2,8,1,1,10,10
n77,2,10,10,4,2,8,1,1,10,10
n80,2,10,10,4,2,8,1,1,10,6
n79,2,10,10,4,2,8,1,1,10,0
n84,2,10,10,4,2,0,1,1,0,7
n83,2,10,10,4,2,0,1,1,0,0
n86,2,10,10,4,2,0,1,1,8,0
n85,2,10,10,4,2,0,1,1,0,0
n92,2,10,10,4,10,8,1,1,1,0
n91,2,10,10,4,10,8,1,1,1,0
n94,2,10,10,4,0,0,1,1,1,0
n93,2,10,10,4,0,10,1,1,1,0
n98,2,10,10,4,7,0,1,1,1,10
n97,2,10,10,4,0,0,1,1,1,10
n100,2,10,10,4,10,0,1,1,1,9
n99,2,10,10,4,0,0,1,1,1,9
n108,2,10,10,9,1,6,1,1,0,0
n107,2,10,10,9,1,6,1,1,0,0
n110,2,10,10,9,1,6,1,1,9,1
n109,2,10,10,9,1,6,1,1,9,1
n114,2,10,10,9,1,6,1,1,1,0
n113,2,10,10,9,1,6,1,1,1,0
n116,2,10,10,9,1,6,1,1,1,0
n115,2,10,10,9,1,6,1,1,1,0
n122,2,10,10,0,1,6,1,1,0,0
n121,2,10,10,0,1,6,1,1,0,6
n124,2,10,10,0,1,6,1,1,8,4
n123,2,10,10,0,1,6,1,1,10,4
n128,2,10,10,0,1,6,1,1,6,0
n127,2,10,10,0,1,6,1,1,6,0
n130,2,10,10,0,1,6,1,1,0,0
n129,2,10,10,0,1,6,1,1,0,0
n142,0,10,10,0,0,6,1,0,7,6
n141,0,10,10,3,0,6,1,0,7,6
n144,0,10,10,0,8,6,1,0,7,6
n143,0,10,10,0,7,6,1,9,7,6
n148,10,10,10,3,2,6,1,3,7,6
n147,0,10,10,0,2,6,1,2,7,6
n150,0,10,10,8,2,6,1,9,7,6
n149,8,10,10,0,2,6,1,0,7,6
n156,0,10,10,2,8,6,1,0,7,6
n155,0,10,10,0,8,6,1,4,7,6
n158,0,10,10,0,0,6,1,1,7,6
n157,0,10,10,7,0,6,1,1,7,6
n162,0,10,10,4,0,6,1,0,7,6
n161,0,10,10,3,0,6,1,0,7,6
n164,8,10,10,0,0,6,1,0,7,6
n163,0,10,10,0,0,6,1,0,7,6
n172,0,10,10,10,9,6,1,9,0,0
n171,0,10,10,10,9,6,1,9,0,0
n174,4,10,10,10,9,6,1,9,0,0
n173,3,10,10,10,9,6,1,9,0,0
n178,0,10,10,10,0,6,1,8,0,7
n177,0,10,10,10,0,6,1,8,0,7
n180,0,10,10,10,0,6,1,8,10,0
n179,2,10,10,10,0,6,1,8,4,0
n186,0,10,10,0,0,6,1,10,6,0
n185,0,10,10,0,0,6,1,10,6,6
n188,6,10,10,9,0,6,1,10,6,0
n187,6,10,10,0,0,6,1,10,6,0
n192,8,10,10,0,9,6,1,4,6,0
n191,8,10,10,1,9,6,1,4,6,2
n194,8,10,10,0,9,6,1,4,6,0
n193,8,10,10,0,9,6,1,4,6,0
n204,8,10,10,0,7,6,1,6,0,7
n203,0,10,10,0,7,6,1,6,9,7
n206,7,10,10,0,7,6,1,6,9,7
n205,7,10,10,0,7,6,1,6,9,7
n210,9,10,10,4,7,6,1,6,0,7
n209,9,10,10,4,7,6,1,6,0,7
n212,9,10,10,4,7,6,1,6,0,7
n211,9,10,10,4,7,6,1,6,0,7
n218,5,10,10,0,7,6,1,6,5,0
n217,5,10,10,0,7,6,1,6,5,0
n220,5,10,10,0,7,6,1,6,5,0
n219,5,10,10,7,7,6,1,6,5,0
n224,5,10,10,0,7,6,1,6,5,0
n223,5,10,10,9,7,6,1,6,5,0
n226,5,10,10,0,7,6,1,6,5,0
n225,5,10,10,0,7,6,1,6,5,0
n234,0,10,10,9,10,6,1,1,3,3
n233,0,10,10,9,10,6,1,1,3,3
n236,0,10,10,9,10,6,1,1,3,0
n235,0,10,10,9,10,6,1,1,3,10
n240,8,10,10,9,0,6,1,1,3,0
n239,8,10,10,9,0,6,1,1,0,0
n242,8,10,10,9,0,6,1,1,1,4
n241,8,10,10,9,6,6,1,1,0,0
n248,0,10,10,9,0,6,1,0,8,7
n247,8,10,10,9,6,6,1,0,8,7
n250,1,10,10,9,8,6,1,0,8,7
n249,0,10,10,9,8,6,1,2,8,7
n254,0,10,10,9,0,6,1,0,7,7
n253,0,10,10,9,0,6,1,0,7,7
n256,0,10,10,9,10,6,1,0,7,7
n255,0,10,10,9,10,6,1,0,7,7
n270,9,10,10,0,0,9,2,0,9,10
n269,9,10,10,0,0,9,2,0,9,10
n272,9,10,10,0,7,9,2,4,9,10
n271,9,10,10,0,0,9,2,4,9,10
n276,9,10,10,0,1,9,2,8,9,10
n275,9,10,10,4,0,9,2,8,9,10
n278,9,10,10,2,0,9,2,0,9,10
n277,9,10,10,2,8,9,2,0,9,10
n284,5,10,10,0,0,9,2,7,9,10
n283,0,10,10,0,0,9,2,7,9,10
n286,6,10,10,5,0,9,2,7,9,10
n285,6,10,10,3,0,9,2,7,9,10
n290,7,10,10,2,1,9,2,0,9,10
n289,7,10,10,2,1,9,2,0,9,10
n292,7,10,10,0,1,9,2,0,9,10
n291,7,10,10,0,1,9,2,4,9,10
n300,0,10,10,8,0,9,0,10,9,1
n299,7,10,10,8,3,9,0,10,9,1
n302,0,10,10,8,3,9,1,10,9,1
n301,0,10,10,8,0,9,1,10,9,1
n306,1,10,10,8,3,9,5,10,9,1
n305,0,10,10,8,3,9,5,10,9,1
n308,9,10,10,8,3,9,0,10,9,1
n307,9,10,10,8,3,9,0,10,9,1
n314,0,10,10,8,1,9,8,8,9,10
n313,0,10,10,8,0,9,8,8,9,10
n316,7,10,10,8,0,9,8,8,9,0
n315,7,10,10,8,0,9,8,8,9,0
n320,0,10,10,8,7,9,8,0,9,1
n319,0,10,10,8,0,9,8,0,9,1
n322,5,10,10,8,0,9,8,0,9,0
n321,5,10,10,8,0,9,8,0,9,10
n332,4,10,10,1,8,9,5,7,4,10
n331,4,10,10,1,8,9,5,7,0,10
n334,4,10,10,1,0,9,5,0,6,10
n333,4,10,10,1,0,9,5,0,6,10
n338,4,10,10,1,9,9,0,5,0,10
n337,4,10,10,1,9,9,0,0,0,10
n340,4,10,10,1,9,9,1,8,9,10
n339,4,10,10,1,9,9,0,0,10,10
n346,0,10,10,0,4,9,0,0,0,10
n345,0,10,10,0,4,9,0,0,0,10
n348,0,10,10,10,4,9,10,0,0,10
n347,0,10,10,0,4,9,10,0,0,10
n352,0,10,10,5,4,9,0,3,0,10
n351,0,10,10,5,4,9,0,3,0,10
n354,0,10,10,0,4,9,0,0,0,10
n353,3,10,10,0,4,9,0,3,0,10
n362,5,10,10,3,8,9,2,0,0,10
n361,5,10,10,3,8,9,2,2,0,10
n364,5,10,10,3,8,9,2,0,0,10
n363,5,10,10,3,8,9,2,0,0,10
n368,5,10,10,1,5,9,0,0,0,10
n367,5,10,10,1,0,9,0,4,0,10
n370,5,10,10,9,0,9,0,8,1,10
n369,5,10,10,9,0,9,0,0,1,10
n376,0,10,10,0,10,9,3,0,1,10
n375,0,10,10,0,10,9,9,0,1,10
n378,0,10,10,0,10,9,0,5,1,10
n377,0,10,10,0,10,9,7,5,1,10
n382,0,10,10,0,0,9,0,10,1,10
n381,9,10,10,0,6,9,3,10,1,10
n384,0,10,10,0,1,9,1,7,1,10
n383,0,10,10,0,0,9,1,0,1,10
n396,7,10,10,2,1,9,0,1,7,7
n395,7,10,10,2,1,9,0,1,7,7
n398,7,10,10,2,1,9,0,1,7,7
n397,7,10,10,2,1,9,0,1,7,7
n402,3,10,10,2,1,9,10,1,7,7
n401,3,10,10,2,1,9,10,1,7,7
n404,3,10,10,2,1,9,10,1,7,7
n403,3,10,10,2,1,9,10,1,7,7
n410,2,10,10,2,1,9,3,1,7,7
n409,2,10,10,2,1,9,0,1,7,7
n412,2,10,10,2,1,9,0,1,7,7
n411,2,10,10,2,1,9,2,1,7,7
n416,2,10,10,2,1,9,0,1,7,7
n415,0,10,10,2,1,9,3,1,7,7
n418,0,10,10,2,1,9,0,1,7,7
n417,0,10,10,2,1,9,0,1,7,7
n426,8,10,10,2,1,9,0,1,7,4
n425,8,10,10,2,1,9,0,1,7,0
n428,8,10,10,2,1,9,3,1,7,0
n427,8,10,10,2,1,9,3,1,7,0
n432,8,10,10,2,1,9,2,1,7,0
n431,8,10,10,2,1,9,10,1,7,0
n434,8,10,10,2,1,9,5,1,7,0
n433,8,10,10,2,1,9,5,1,7,0
n440,8,10,10,2,1,9,8,1,7,7
n439,8,10,10,2,1,9,8,1,7,0
n442,8,10,10,2,1,9,8,1,7,0
n441,8,10,10,2,1,9,8,1,7,0
n446,8,10,10,2,1,9,8,1,7,4
n445,8,10,10,2,1,9,8,1,7,4
n448,8,10,10,2,1,9,8,1,7,4
n447,8,10,10,2,1,9,8,1,7,4
n458,3,10,10,5,0,9,1,1,7,0
n457,3,10,10,5,6,9,5,1,7,0
n460,3,10,10,5,0,9,0,1,7,0
n459,3,10,10,5,4,9,0,1,7,9
n464,3,10,10,5,0,9,0,1,7,5
n463,3,10,10,5,0,9,0,1,7,0
n466,3,10,10,5,0,9,0,1,7,0
n465,3,10,10,5,5,9,0,1,7,0
n472,4,10,10,0,3,9,0,1,7,0
n471,4,10,10,5,3,9,0,1,7,0
n474,4,10,10,0,3,9,0,1,7,5
n473,4,10,10,5,3,9,0,1,7,9
n478,4,10,10,0,3,9,10,1,7,6
n477,4,10,10,3,3,9,10,1,7,0
n480,4,10,10,8,3,9,0,1,7,3
n479,4,10,10,0,3,9,6,1,7,0
n488,7,10,10,3,4,9,0,1,7,4
n487,7,10,10,3,4,9,0,1,7,4
n490,7,10,10,3,4,9,0,1,7,1
n489,7,10,10,3,4,9,0,1,7,1
n494,7,10,10,3,4,9,1,1,7,1
n493,7,10,10,3,4,9,1,1,7,1
n496,7,10,10,3,4,9,0,1,7,4
n495,7,10,10,3,4,9,0,1,7,4
n502,0,10,10,1,4,9,0,1,7,5
n501,0,10,10,1,4,9,0,1,7,5
n504,0,10,10,1,4,9,0,1,7,0
n503,4,10,10,1,4,9,0,1,7,0
n508,0,10,10,0,4,9,1,1,7,9
n507,10,10,10,0,4,9,0,1,7,9
n510,0,10,10,0,4,9,2,1,7,9
n509,5,10,10,0,4,9,2,1,7,9
