k rep nodeID nodeDepth brlen
10 rep001 n0 1 1
10 rep001 n1 2 1
10 rep001 n10 6 1
10 rep001 n100 9 1
10 rep001 n101 6 0
10 rep001 n102 6 1
10 rep001 n103 7 1
10 rep001 n104 7 1
10 rep001 n105 8 1
10 rep001 n106 8 2
10 rep001 n107 9 0
10 rep001 n108 9 1
10 rep001 n109 9 2
10 rep001 n11 7 2
10 rep001 n110 9 0
10 rep001 n111 8 1
10 rep001 n112 8 1
10 rep001 n113 9 1
10 rep001 n114 9 2
10 rep001 n115 9 0
10 rep001 n116 9 0
10 rep001 n117 7 1
10 rep001 n118 7 2
10 rep001 n119 8 2
10 rep001 n12 7 0
10 rep001 n120 8 0
10 rep001 n121 9 1
10 rep001 n122 9 1
10 rep001 n123 9 0
10 rep001 n124 9 0
10 rep001 n125 8 1
10 rep001 n126 8 2
10 rep001 n127 9 0
10 rep001 n128 9 0
10 rep001 n129 9 2
10 rep001 n13 8 1
10 rep001 n130 9 0
10 rep001 n131 4 4
10 rep001 n132 4 0
10 rep001 n133 5 0
10 rep001 n134 5 0
10 rep001 n135 6 1
10 rep001 n136 6 2
10 rep001 n137 7 2
10 rep001 n138 7 2
10 rep001 n139 8 2
10 rep001 n14 8 0
10 rep001 n140 8 0
10 rep001 n141 9 0
10 rep001 n142 9 0
10 rep001 n143 9 0
10 rep001 n144 9 0
10 rep001 n145 8 0
10 rep001 n146 8 1
10 rep001 n147 9 0
10 rep001 n148 9 0
10 rep001 n149 9 0
10 rep001 n15 9 1
10 rep001 n150 9 1
10 rep001 n151 7 0
10 rep001 n152 7 0
10 rep001 n153 8 0
10 rep001 n154 8 0
10 rep001 n155 9 0
10 rep001 n156 9 3
10 rep001 n157 9 1
10 rep001 n158 9 1
10 rep001 n159 8 1
10 rep001 n16 9 0
10 rep001 n160 8 2
10 rep001 n161 9 0
10 rep001 n162 9 0
10 rep001 n163 9 0
10 rep001 n164 9 2
10 rep001 n165 6 1
10 rep001 n166 6 2
10 rep001 n167 7 0
10 rep001 n168 7 4
10 rep001 n169 8 0
10 rep001 n17 9 0
10 rep001 n170 8 0
10 rep001 n171 9 0
10 rep001 n172 9 0
10 rep001 n173 9 0
10 rep001 n174 9 0
10 rep001 n175 8 3
10 rep001 n176 8 0
10 rep001 n177 9 1
10 rep001 n178 9 0
10 rep001 n179 9 0
10 rep001 n18 9 0
10 rep001 n180 9 0
10 rep001 n181 7 1
10 rep001 n182 7 1
10 rep001 n183 8 2
10 rep001 n184 8 0
10 rep001 n185 9 0
10 rep001 n186 9 1
10 rep001 n187 9 0
10 rep001 n188 9 0
10 rep001 n189 8 0
10 rep001 n19 8 0
10 rep001 n190 8 0
10 rep001 n191 9 0
10 rep001 n192 9 1
10 rep001 n193 9 0
10 rep001 n194 9 1
10 rep001 n195 5 1
10 rep001 n196 5 0
10 rep001 n197 6 1
10 rep001 n198 6 2
10 rep001 n199 7 0
10 rep001 n2 2 1
10 rep001 n20 8 0
10 rep001 n200 7 0
10 rep001 n201 8 1
10 rep001 n202 8 0
10 rep001 n203 9 0
10 rep001 n204 9 0
10 rep001 n205 9 0
10 rep001 n206 9 0
10 rep001 n207 8 1
10 rep001 n208 8 0
10 rep001 n209 9 0
10 rep001 n21 9 0
10 rep001 n210 9 0
10 rep001 n211 9 0
10 rep001 n212 9 0
10 rep001 n213 7 0
10 rep001 n214 7 0
10 rep001 n215 8 0
10 rep001 n216 8 0
10 rep001 n217 9 2
10 rep001 n218 9 0
10 rep001 n219 9 0
10 rep001 n22 9 0
10 rep001 n220 9 1
10 rep001 n221 8 0
10 rep001 n222 8 0
10 rep001 n223 9 0
10 rep001 n224 9 0
10 rep001 n225 9 0
10 rep001 n226 9 1
10 rep001 n227 6 0
10 rep001 n228 6 0
10 rep001 n229 7 0
10 rep001 n23 9 0
10 rep001 n230 7 0
10 rep001 n231 8 0
10 rep001 n232 8 1
10 rep001 n233 9 0
10 rep001 n234 9 1
10 rep001 n235 9 0
10 rep001 n236 9 0
10 rep001 n237 8 0
10 rep001 n238 8 1
10 rep001 n239 9 0
10 rep001 n24 9 0
10 rep001 n240 9 0
10 rep001 n241 9 0
10 rep001 n242 9 0
10 rep001 n243 7 1
10 rep001 n244 7 1
10 rep001 n245 8 0
10 rep001 n246 8 0
10 rep001 n247 9 0
10 rep001 n248 9 1
10 rep001 n249 9 0
10 rep001 n25 7 0
10 rep001 n250 9 0
10 rep001 n251 8 1
10 rep001 n252 8 0
10 rep001 n253 9 0
10 rep001 n254 9 0
10 rep001 n255 9 0
10 rep001 n256 9 0
10 rep001 n257 3 2
10 rep001 n258 3 1
10 rep001 n259 4 1
10 rep001 n26 7 1
10 rep001 n260 4 1
10 rep001 n261 5 1
10 rep001 n262 5 1
10 rep001 n263 6 0
10 rep001 n264 6 0
10 rep001 n265 7 2
10 rep001 n266 7 1
10 rep001 n267 8 0
10 rep001 n268 8 1
10 rep001 n269 9 2
10 rep001 n27 8 0
10 rep001 n270 9 0
10 rep001 n271 9 0
10 rep001 n272 9 1
10 rep001 n273 8 0
10 rep001 n274 8 1
10 rep001 n275 9 0
10 rep001 n276 9 0
10 rep001 n277 9 1
10 rep001 n278 9 0
10 rep001 n279 7 0
10 rep001 n28 8 0
10 rep001 n280 7 0
10 rep001 n281 8 1
10 rep001 n282 8 2
10 rep001 n283 9 0
10 rep001 n284 9 0
10 rep001 n285 9 1
10 rep001 n286 9 0
10 rep001 n287 8 0
10 rep001 n288 8 2
10 rep001 n289 9 2
10 rep001 n29 9 0
10 rep001 n290 9 0
10 rep001 n291 9 2
10 rep001 n292 9 1
10 rep001 n293 6 1
10 rep001 n294 6 0
10 rep001 n295 7 1
10 rep001 n296 7 2
10 rep001 n297 8 0
10 rep001 n298 8 0
10 rep001 n299 9 0
10 rep001 n3 3 1
10 rep001 n30 9 1
10 rep001 n300 9 0
10 rep001 n301 9 0
10 rep001 n302 9 1
10 rep001 n303 8 1
10 rep001 n304 8 1
10 rep001 n305 9 2
10 rep001 n306 9 0
10 rep001 n307 9 0
10 rep001 n308 9 0
10 rep001 n309 7 0
10 rep001 n31 9 1
10 rep001 n310 7 1
10 rep001 n311 8 0
10 rep001 n312 8 0
10 rep001 n313 9 0
10 rep001 n314 9 1
10 rep001 n315 9 0
10 rep001 n316 9 2
10 rep001 n317 8 1
10 rep001 n318 8 1
10 rep001 n319 9 0
10 rep001 n32 9 0
10 rep001 n320 9 1
10 rep001 n321 9 0
10 rep001 n322 9 0
10 rep001 n323 5 1
10 rep001 n324 5 0
10 rep001 n325 6 1
10 rep001 n326 6 1
10 rep001 n327 7 2
10 rep001 n328 7 0
10 rep001 n329 8 0
10 rep001 n33 8 0
10 rep001 n330 8 1
10 rep001 n331 9 1
10 rep001 n332 9 0
10 rep001 n333 9 2
10 rep001 n334 9 0
10 rep001 n335 8 1
10 rep001 n336 8 1
10 rep001 n337 9 1
10 rep001 n338 9 0
10 rep001 n339 9 0
10 rep001 n34 8 1
10 rep001 n340 9 1
10 rep001 n341 7 2
10 rep001 n342 7 0
10 rep001 n343 8 2
10 rep001 n344 8 1
10 rep001 n345 9 1
10 rep001 n346 9 2
10 rep001 n347 9 1
10 rep001 n348 9 2
10 rep001 n349 8 1
10 rep001 n35 9 1
10 rep001 n350 8 0
10 rep001 n351 9 0
10 rep001 n352 9 0
10 rep001 n353 9 0
10 rep001 n354 9 0
10 rep001 n355 6 1
10 rep001 n356 6 0
10 rep001 n357 7 0
10 rep001 n358 7 1
10 rep001 n359 8 0
10 rep001 n36 9 0
10 rep001 n360 8 0
10 rep001 n361 9 0
10 rep001 n362 9 0
10 rep001 n363 9 0
10 rep001 n364 9 0
10 rep001 n365 8 1
10 rep001 n366 8 1
10 rep001 n367 9 1
10 rep001 n368 9 1
10 rep001 n369 9 1
10 rep001 n37 9 0
10 rep001 n370 9 0
10 rep001 n371 7 1
10 rep001 n372 7 0
10 rep001 n373 8 0
10 rep001 n374 8 2
10 rep001 n375 9 0
10 rep001 n376 9 1
10 rep001 n377 9 2
10 rep001 n378 9 1
10 rep001 n379 8 0
10 rep001 n38 9 0
10 rep001 n380 8 0
10 rep001 n381 9 0
10 rep001 n382 9 1
10 rep001 n383 9 0
10 rep001 n384 9 1
10 rep001 n385 4 0
10 rep001 n386 4 2
10 rep001 n387 5 1
10 rep001 n388 5 0
10 rep001 n389 6 0
10 rep001 n39 6 2
10 rep001 n390 6 1
10 rep001 n391 7 1
10 rep001 n392 7 0
10 rep001 n393 8 2
10 rep001 n394 8 0
10 rep001 n395 9 1
10 rep001 n396 9 1
10 rep001 n397 9 1
10 rep001 n398 9 0
10 rep001 n399 8 0
10 rep001 n4 3 1
10 rep001 n40 6 0
10 rep001 n400 8 0
10 rep001 n401 9 0
10 rep001 n402 9 0
10 rep001 n403 9 1
10 rep001 n404 9 0
10 rep001 n405 7 0
10 rep001 n406 7 2
10 rep001 n407 8 0
10 rep001 n408 8 0
10 rep001 n409 9 0
10 rep001 n41 7 0
10 rep001 n410 9 0
10 rep001 n411 9 0
10 rep001 n412 9 2
10 rep001 n413 8 0
10 rep001 n414 8 0
10 rep001 n415 9 2
10 rep001 n416 9 2
10 rep001 n417 9 0
10 rep001 n418 9 1
10 rep001 n419 6 0
10 rep001 n42 7 1
10 rep001 n420 6 0
10 rep001 n421 7 1
10 rep001 n422 7 0
10 rep001 n423 8 1
10 rep001 n424 8 0
10 rep001 n425 9 2
10 rep001 n426 9 0
10 rep001 n427 9 1
10 rep001 n428 9 0
10 rep001 n429 8 1
10 rep001 n43 8 1
10 rep001 n430 8 0
10 rep001 n431 9 0
10 rep001 n432 9 0
