cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,8,1,9,10,4,3,1,0,5,2
n15,8,1,9,10,4,3,1,0,5,2
n18,8,1,9,10,4,3,1,0,5,2
n17,8,1,9,10,4,3,1,0,5,2
n22,8,1,9,10,4,3,1,5,5,2
n21,8,1,9,10,4,3,1,5,5,2
n24,8,1,9,10,4,3,1,0,5,2
n23,8,1,9,10,4,3,1,0,5,2
n30,8,1,9,10,4,3,1,5,5,2
n29,8,1,9,10,4,3,1,5,5,2
n32,8,1,9,10,4,3,1,5,5,2
n31,8,1,9,10,4,3,1,5,5,2
n36,8,1,9,10,4,3,1,5,5,2
n35,8,1,9,10,4,3,1,5,5,2
n38,8,1,9,10,4,3,1,5,5,2
n37,8,1,9,10,4,3,1,5,5,2
n46,8,1,9,10,4,3,1,0,5,2
n45,8,1,9,10,4,3,1,0,5,2
n48,8,1,9,10,4,3,1,1,5,2
n47,8,1,9,10,4,3,1,1,5,2
n52,8,1,9,10,4,3,1,2,5,2
n51,8,1,9,10,4,3,1,0,5,2
n54,8,1,9,10,4,3,1,8,5,2
n53,8,1,9,10,4,3,1,0,5,2
n60,8,1,9,10,4,3,1,8,5,2
n59,8,1,9,10,4,3,1,0,5,2
n62,8,1,9,10,4,3,1,0,5,2
n61,8,1,9,10,4,3,1,9,5,2
n66,8,1,9,10,4,3,1,5,5,2
n65,8,1,9,10,4,3,1,0,5,2
n68,8,1,9,10,4,3,1,0,5,2
n67,8,1,9,10,4,3,1,3,5,2
n78,8,1,9,10,4,3,0,9,5,2
n77,8,1,9,10,4,3,0,9,5,2
n80,8,1,9,10,4,3,0,9,5,2
n79,8,1,9,10,4,3,0,9,5,2
n84,8,1,9,10,4,3,1,9,5,2
n83,8,1,9,10,4,3,1,9,5,2
n86,8,1,9,10,4,3,0,9,5,2
n85,8,1,9,10,4,3,4,9,5,2
n92,8,1,9,10,4,3,9,0,5,2
n91,8,1,9,10,4,3,9,0,5,2
n94,8,1,9,10,4,3,9,0,5,2
n93,8,1,9,10,4,3,9,0,5,2
n98,8,1,9,10,4,3,9,4,5,2
n97,8,1,9,10,4,3,9,4,5,2
n100,8,1,9,10,4,3,9,10,5,2
n99,8,1,9,10,4,3,9,10,5,2
n108,8,1,9,10,4,3,7,0,5,2
n107,8,1,9,10,4,3,7,0,5,2
n110,8,1,9,10,4,3,7,0,5,2
n109,8,1,9,10,4,3,7,0,5,2
n114,8,1,9,10,4,3,7,0,5,2
n113,8,1,9,10,4,3,7,0,5,2
n116,8,1,9,10,4,3,7,8,5,2
n115,8,1,9,10,4,3,7,8,5,2
n122,8,1,9,10,4,3,7,0,5,2
n121,8,1,9,10,4,3,7,0,5,2
n124,8,1,9,10,4,3,7,6,5,2
n123,8,1,9,10,4,3,7,6,5,2
n128,8,1,9,10,4,3,7,10,5,2
n127,8,1,9,10,4,3,7,10,5,2
n130,8,1,9,10,4,3,7,10,5,2
n129,8,1,9,10,4,3,7,10,5,2
n142,8,1,9,2,0,3,6,0,0,2
n141,8,1,9,2,1,3,6,0,0,2
n144,8,1,9,2,4,3,6,3,0,2
