(((((((120:0.006,121:0.023)node_124:2.014,(90:1,91:0.012)node_121:2.036)node_120:0.972,((109:1.014,108:1.154)node_117:1.977,(112:1.123,113:0.001)node_114:0.936)node_113:0.992)node_112:3.012,((((116:0,104:2)node_109:0,105:1.192)node_107:0,117:0)node_105:0.001,((126:0.001,127:2.001)node_102:1.024,(122:1,123:0)node_99:3.025)node_98:1.976)node_97:1.019)node_96:5.109,(((((101:2.025,100:1.025)node_93:2.975,125:0)node_91:0.001,124:1.25)node_89:1.008,((65:3.068,64:2.068)node_86:1.988,(70:0,71:1)node_83:3.055)node_82:0.953)node_81:3.032,(((95:2.001,94:0.001)node_78:3.024,(74:1.009,75:1.009)node_75:1.016)node_74:0.998,((88:1.664,89:1.013)node_71:0.002,(82:1.057,83:3.542)node_68:3.959)node_67:3.008)node_66:2.017)node_65:5.088)node_64:5.895,(((((107:1,106:0)node_61:1.029,(96:1.017,97:2.017)node_58:5.013)node_57:3.016,((73:3.082,72:4.082)node_54:1.966,(68:0,69:1)node_51:4.047)node_50:2.998)node_49:1.982,(((98:0.012,99:2.001)node_46:2.024,(111:0.012,110:1.007)node_43:1.981)node_42:3.023,((103:3.023,102:1.023)node_39:2.996,(118:1,119:0.012)node_36:1.018)node_35:3.029)node_34:2.979)node_33:3.071,((((92:1.01,93:1.01)node_30:0.99,((114:2.001,115:0.001)node_27:1.011,(86:0,87:0)node_24:1.012)node_23:2.988)node_22:0,(66:1,67:2)node_19:0)node_18:6.072,(((80:1.113,81:1.009)node_15:2.034,(84:0.002,85:4.373)node_12:3.041)node_11:0.97,((78:2.001,79:0.001)node_8:1.007,(76:2.017,77:1.017)node_5:0.991)node_4:2.006)node_3:2.059)node_2:8.026)node_1:0.925)node_0:3.977)I0;
86,0,6,7,10,8,0,8,10,9,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,10
node_27,0,6,7,10,1,0,8,10,9,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,10
115,0,6,7,10,1,0,8,10,9,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,10
114,0,6,7,10,1,0,8,10,9,4,9,8,1,6,0,2,10,6,0,5,8,6,4,10,5,2,5,0,9,10
node_30,0,6,7,0,0,0,8,10,0,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0:0.01/2:0.99,9,0
93,0,6,7,0,0,0,8,10,0,4,9,8,1,6,0,2,1,6,0,0,8,6,4,10,5,2,5,2,9,0
92,0,6,7,0,0,0,8,10,1,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,2,9,0
node_33,0,6,7,0,0,0,0:0.01/9:0.99,0,0,0,0:0.01/10:0.99,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0:0.01/5:0.99,0,0,9,0
node_34,0,6,7,0,0,0,9,0,0,0,10,0,0:0.02/9:0.98,0,0,2,0:0.02/9:0.98,0,0,0:0.02/2:0.98,0,6,0,0,0,5,0,0,9,0
node_35,0,6,7,0,0,0,9,0,0:0.01/4:0.99,0,10,0:0.01/9:0.99,9,0,0,2,9,0,0,2,0,6,0,0,0,5,0,0:0.01/8:0.99,9,0
node_36,0,6,7,0,0,0,9,0,4,0,10,9,9,0,0,2,9,4,0,2,0,6,0,0,0,5,0,8,9,0
119,0,6,7,0,0,0:0.99/-1:0.01,9,0,4,0,10,9,9,0,0,2,9,4,0,2,0,6,0,0,0,5,0,8,9,0
118,0,6,7,0,0,0,9,0,4,10,10,9,9,0,0,2,9,4,0,2,0,6,0,0,0,5,0,8,9,0
node_39,0,6,7,0,0,0,9,0:0.01/3:0.99,4,0,10,9,9,0,0,2,9,0,0,2,0,6,0:0.01/3:0.99,0,0,5,0,8,9,0:0.01/6:0.99
102,0,6,7,0,0,0,9,3,4,0,10,9,9,0,0,2,9,0,0,2,0,6,3,0,5,5,0,8,9,6
103,0,6,7,0,6,0,9,3,4,0,10,9,9,0,0,2,9,8,0,2,0,6,3,0,6,5,0,8,9,6
node_42,0,6,7,0,0,0,9,0,0,0,10,0,9,0:0.01/8:0.99,0,2,9,0,0,2,0,6,0:0.01/8:0.99,0,0,5,0:0.01/7:0.99,0,9,0
node_43,0,6,7,0,0,0:0.04/-1:0.95/1:0.001/2:0.001/3:0.001/4:0.001/5:0.001/6:0.001/7:0.001/8:0.001/9:0.001/10:0.001,9,0,0,0,10,0,9,8,0,2,9,0,0,2,0,6,8,0,0,5,7,1,9,0
110,0,6,7,0,0,0:0.04/-1:0.95/1:0.001/2:0.001/3:0.001/4:0.001/5:0.001/6:0.001/7:0.001/8:0.001/9:0.001/10:0.001,9,0,0,0,10,0,9,8,0,2,9,0,2,2,0,6,8,0,0,5,7,1,9,0
111,0,6,7,0,0,0:0.04/-1:0.95/1:0.001/2:0.001/3:0.001/4:0.001/5:0.001/6:0.001/7:0.001/8:0.001/9:0.001/10:0.001,9,0,0,0,10,0,9,8,0,2,9,0,0,2,0,6,8,0,0,5,7,1,9,0:0.99/-1:0.01
node_46,0,6,7,0,0,0,9,0,0,0,10,0,9,8,0,2,9,1,0,2,0,6,8,0,0,5,7,0,9,10
99,0,6,7,0,0,2,9,0,0,0,10,0,9,8,0,2,9,1,0,2,8,6,8,0,0,5,7,0,9,10
98,0,6,7,0,0,0,9,0:0.99/-1:0.01,0,0,10,0,9,8,0,2,9,1,0,2,0,6,8,0,0,5,7,0,9,10
node_49,0,6,7,0,0,0,9,0,0:0.02/7:0.98,0,10,0,0,0:0.02/10:0.98,0,2,0,0,0,0,0,6,0,0,0,5,0,0,9,0
node_50,0,6,7,0:0.02/8:0.98,0,0,9,0,7,0,10,0,0,10,0,2,0:0.02/3:0.98,0,0,0,0,6,0,0,0,5,0,0,9,0:0.02/10:0.98
