cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
n16,10,1,4,5,0,9,0,6,10,5,3,8,8,9,6,3,7,7,7,10,5,7,0,6,10,0,7,9,0,8
n15,10,1,4,5,0,9,0,6,10,5,3,8,8,9,6,3,0,7,7,10,5,7,8,6,10,0,7,9,0,8
n18,10,1,4,0,7,9,1,6,10,5,3,8,8,9,6,3,7,7,7,10,5,7,4,6,10,2,7,9,0,8
n17,10,1,4,6,0,9,0,6,10,5,3,8,8,9,6,3,0,7,7,10,5,7,0,6,10,0,7,9,0,8
n22,10,1,4,0,0,9,9,6,10,5,3,8,8,9,6,0,0,7,7,10,5,7,0,6,10,5,7,9,0,8
n21,10,1,4,0,0,9,9,6,10,5,3,8,8,9,6,0,7,7,7,10,5,7,3,6,10,5,7,9,0,8
n24,10,1,4,9,5,9,0,6,10,5,3,8,8,9,0,0,0,7,7,10,5,7,0,6,10,5,7,9,5,8
n23,10,1,4,9,5,9,0,6,10,5,3,8,8,9,0,0,9,7,7,10,5,7,0,6,10,5,7,9,0,8
n30,10,1,4,6,7,9,7,6,10,5,10,8,8,9,0,5,0,4,9,10,5,7,3,6,10,9,7,9,2,8
n29,10,1,4,6,7,9,7,6,10,5,10,8,8,9,0,5,0,4,9,10,5,7,0,6,10,9,7,9,2,8
n32,10,1,4,6,7,9,10,6,10,5,10,8,8,9,7,5,0,0,2,10,5,7,2,6,10,9,7,9,2,8
n31,10,1,4,6,7,9,10,6,10,5,10,8,8,9,0,5,0,0,0,10,5,7,2,6,10,9,7,9,2,8
n36,10,1,4,4,6,9,0,6,10,5,0,8,8,9,8,5,4,10,6,10,5,7,0,6,10,0,7,9,2,8
n35,10,1,4,4,0,9,6,6,10,5,0,8,8,9,8,5,4,10,6,10,5,7,7,6,10,0,7,9,2,8
n38,10,1,4,4,6,9,0,6,10,5,0,8,8,9,9,5,4,10,6,10,5,7,0,6,10,0,7,9,2,8
n37,10,1,4,4,6,9,0,6,10,5,0,8,8,9,0,5,4,10,6,10,5,7,0,6,10,0,7,9,2,8
n46,10,1,4,4,0,9,1,6,10,5,5,8,8,9,5,0,0,1,0,10,1,7,7,6,10,0,7,9,5,3
n45,10,1,4,4,0,9,1,6,10,5,0,8,8,9,5,0,0,1,0,10,1,7,7,6,10,0,7,9,5,3
n48,10,1,4,4,0,9,1,6,10,5,0,8,8,9,5,7,6,1,8,10,1,7,0,6,10,0,7,9,0,0
n47,10,1,4,4,0,9,1,6,10,5,1,8,8,9,5,0,0,1,8,10,1,7,7,6,10,0,7,9,0,0
n52,10,1,4,4,10,9,7,6,10,5,0,8,8,9,5,0,0,1,0,10,1,7,2,6,10,0,7,9,0,1
n51,10,1,4,4,10,9,7,6,10,5,3,8,8,9,5,0,5,1,4,10,1,7,2,6,10,0,7,9,0,1
n54,10,1,4,4,0,9,7,6,10,5,7,8,8,9,5,0,7,1,0,10,1,7,2,6,10,0,7,9,0,0
n53,10,1,4,4,0,9,7,6,10,5,7,8,8,9,5,0,0,1,0,10,1,7,2,6,10,0,7,9,0,10
n60,10,1,4,0,6,9,0,6,10,5,7,8,8,9,5,4,4,1,6,10,1,7,2,6,10,8,7,9,0,4
n59,10,1,4,0,6,9,0,6,10,5,7,8,8,9,5,4,4,1,6,10,1,7,2,6,10,0,7,9,1,0
n62,10,1,4,0,6,9,0,6,10,5,7,8,8,9,5,4,4,1,6,10,1,7,2,6,10,0,7,9,0,0
n61,10,1,4,0,6,9,0,6,10,5,7,8,8,9,5,4,4,1,6,10,1,7,2,6,10,0,7,9,9,6
n66,10,1,4,4,0,9,0,6,10,5,6,8,8,9,5,4,4,1,9,10,1,7,2,6,10,8,7,9,0,0
n65,10,1,4,0,0,9,2,6,10,5,6,8,8,9,5,4,4,1,9,10,1,7,2,6,10,8,7,9,0,0
n68,10,1,4,0,0,9,0,6,10,5,0,8,8,9,5,4,4,1,0,10,1,7,2,6,10,4,7,9,9,5
n67,10,1,4,0,8,9,0,6,10,5,0,8,8,9,5,4,4,1,0,10,1,7,2,6,10,0,7,9,9,5
n78,10,1,3,5,10,9,6,6,10,5,0,8,8,9,6,10,2,0,0,10,0,5,0,6,10,1,7,9,0,7
n77,10,1,3,5,10,9,6,6,10,5,10,8,8,9,6,10,2,0,0,10,0,5,0,6,10,1,7,9,0,7
n80,10,1,3,0,10,9,6,6,10,5,0,8,8,9,6,10,2,0,0,10,0,5,0,6,10,1,7,9,0,7
n79,10,1,3,0,10,9,6,6,10,5,0,8,8,9,6,10,2,0,0,10,0,5,0,6,10,1,7,9,0,7
n84,10,1,3,4,10,9,6,6,10,5,10,8,8,9,6,10,0,0,4,10,0,5,2,6,10,1,7,9,2,7
n83,10,1,3,4,10,9,6,6,10,5,10,8,8,9,6,10,0,0,4,10,0,5,2,6,10,1,7,9,2,7
n86,10,1,3,4,10,9,6,6,10,5,0,8,8,9,6,10,0,0,0,10,0,5,2,6,10,1,7,9,4,7
n85,10,1,3,4,10,9,6,6,10,5,0,8,8,9,6,10,0,0,0,10,0,5,2,6,10,1,7,9,4,7
n92,10,1,3,9,10,9,0,6,10,5,10,8,8,9,6,10,0,2,0,10,0,8,0,6,10,2,7,9,10,7
n91,10,1,3,9,10,9,5,6,10,5,10,8,8,9,6,10,0,2,0,10,0,8,6,6,10,2,7,9,0,7
n94,10,1,3,9,10,9,0,6,10,5,6,8,8,9,6,10,0,2,0,10,9,8,0,6,10,2,7,9,0,7
n93,10,1,3,9,10,9,0,6,10,5,6,8,8,9,6,10,0,2,0,10,9,8,0,6,10,2,7,9,0,7
n98,10,1,3,9,10,9,0,6,10,5,0,8,8,9,6,10,5,3,0,10,0,8,0,6,10,2,7,9,0,7
n97,10,1,3,9,10,9,0,6,10,5,0,8,8,9,6,10,5,0,0,10,0,8,0,6,10,2,7,9,0,7
n100,10,1,3,9,10,9,0,6,10,5,0,8,8,9,6,10,5,1,2,10,2,8,0,6,10,2,7,9,0,7
n99,10,1,3,9,10,9,0,6,10,5,0,8,8,9,6,10,5,1,4,10,0,8,0,6,10,2,7,9,0,7
n108,10,1,4,3,10,9,1,6,10,5,6,8,8,9,5,8,0,0,0,10,7,8,6,6,10,0,7,9,1,3
n107,10,1,4,3,10,9,0,6,10,5,6,8,8,9,5,8,0,0,0,10,0,8,0,6,10,0,7,9,1,3
n110,10,1,4,3,10,9,5,6,10,5,6,8,8,9,5,8,3,0,0,10,0,8,0,6,10,0,7,9,1,3
n109,10,1,4,3,10,9,0,6,10,5,6,8,8,9,5,8,0,0,0,10,6,8,7,6,10,0,7,9,1,3
n114,10,1,4,3,10,9,9,6,10,5,6,8,8,9,5,8,0,0,0,10,0,8,10,6,10,3,7,9,1,3
n113,10,1,4,3,10,9,9,6,10,5,6,8,8,9,5,8,0,7,0,10,0,8,10,6,10,3,7,9,1,3
n116,10,1,4,3,10,9,9,6,10,5,6,8,8,9,5,8,0,0,0,10,2,8,10,6,10,3,7,9,1,3
n115,10,1,4,3,10,9,9,6,10,5,6,8,8,9,5,8,0,0,10,10,0,8,10,6,10,3,7,9,1,3
n122,10,1,4,0,10,9,6,6,10,5,6,8,8,9,0,0,0,9,4,10,1,10,0,6,10,2,7,9,0,3
n121,10,1,4,6,10,9,6,6,10,5,6,8,8,9,0,0,0,9,4,10,1,10,0,6,10,2,7,9,0,3
n124,10,1,4,3,10,9,6,6,10,5,6,8,8,9,0,0,0,9,4,10,1,10,0,6,10,5,7,9,4,3
n123,10,1,4,3,10,9,6,6,10,5,6,8,8,9,0,0,3,9,4,10,1,10,0,6,10,0,7,9,0,3
n128,10,1,4,8,10,9,6,6,10,5,6,8,8,9,0,7,0,9,4,10,10,0,0,6,10,0,7,9,7,3
n127,10,1,4,8,10,9,6,6,10,5,6,8,8,9,0,7,0,9,4,10,10,3,0,6,10,0,7,9,7,3
n130,10,1,4,0,10,9,6,6,10,5,6,8,8,9,6,7,9,9,4,10,0,0,1,6,10,0,7,9,0,3
n129,10,1,4,6,10,9,6,6,10,5,6,8,8,9,6,7,0,9,4,10,0,9,1,6,10,0,7,9,0,3
n142,10,1,5,3,2,9,7,6,10,1,7,4,1,9,10,0,3,0,1,10,0,0,8,6,10,8,7,5,8,9
n141,10,1,5,3,2,9,0,6,10,1,7,4,1,9,10,0,3,0,1,10,0,0,8,6,10,8,7,5,8,9
n144,10,1,5,3,2,9,10,6,10,1,8,4,1,9,10,4,3,0,1,10,0,0,8,6,10,8,7,2,8,9
n143,10,1,5,3,2,9,8,6,10,1,0,4,1,9,10,4,3,0,1,10,0,0,8,6,10,8,7,2,8,9
n148,10,1,5,3,2,9,0,6,10,1,10,4,1,9,10,0,3,6,1,10,0,0,8,6,10,8,7,0,8,9
n147,10,1,5,3,2,9,0,6,10,1,10,4,1,9,10,4,3,0,1,10,0,0,8,6,10,8,7,0,8,9
n150,10,1,5,3,2,9,4,6,10,1,0,4,1,9,10,0,3,0,1,10,0,0,8,6,10,8,7,0,8,9
n149,10,1,5,3,2,9,0,6,10,1,0,4,1,9,10,0,3,0,1,10,0,5,8,6,10,8,7,0,8,9
n156,10,1,0,3,2,9,0,6,10,0,0,4,1,9,10,9,3,0,1,10,8,0,8,6,10,8,7,9,8,9
n155,10,1,0,3,2,9,9,6,10,0,0,4,1,9,10,9,3,4,1,10,8,0,8,6,10,8,7,9,8,9
n158,10,1,0,3,2,9,0,6,10,0,0,4,1,9,10,9,3,0,1,10,8,1,8,6,10,8,7,9,8,9
n157,10,1,0,3,2,9,0,6,10,8,7,4,1,9,10,9,3,8,1,10,8,1,8,6,10,8,7,9,8,9
n162,10,1,9,3,2,9,0,6,10,0,0,4,1,9,10,9,3,9,1,10,8,0,8,6,10,8,7,9,8,9
n161,10,1,9,3,2,9,2,6,10,10,0,4,1,9,10,9,3,6,1,10,8,0,8,6,10,8,7,9,8,9
n164,10,1,9,3,2,9,0,6,10,4,0,4,1,9,10,9,3,0,1,10,8,0,8,6,10,8,7,9,8,9
n163,10,1,9,3,2,9,6,6,10,4,0,4,1,9,10,9,3,1,1,10,8,9,8,6,10,8,7,9,8,9
n172,10,1,5,2,2,9,9,6,10,9,0,4,1,9,10,6,0,7,1,10,0,3,8,6,10,8,7,9,0,9
n171,10,1,5,4,2,9,9,6,10,9,0,4,1,9,10,6,0,7,1,10,0,3,8,6,10,8,7,9,5,9
n174,10,1,5,6,2,9,9,6,10,9,0,4,1,9,10,6,0,7,1,10,0,3,8,6,10,8,7,9,0,9
n173,10,1,5,6,2,9,9,6,10,9,0,4,1,9,10,6,0,7,1,10,0,3,8,6,10,8,7,9,0,9
n178,10,1,1,0,2,9,9,6,10,5,5,4,1,9,10,6,4,7,1,10,1,3,8,6,10,8,7,9,0,9
n177,10,1,1,0,2,9,9,6,10,0,0,4,1,9,10,6,7,7,1,10,1,3,8,6,10,8,7,9,0,9
n180,10,1,1,0,2,9,9,6,10,0,4,4,1,9,10,6,0,7,1,10,0,3,8,6,10,8,7,9,0,9
n179,10,1,1,0,2,9,9,6,10,0,4,4,1,9,10,6,0,7,1,10,0,3,8,6,10,8,7,9,0,9
n186,10,1,0,0,2,9,9,6,10,4,0,4,1,9,10,6,0,7,1,10,0,0,8,6,10,8,7,9,0,9
n185,10,1,9,0,2,9,9,6,10,0,0,4,1,9,10,6,0,7,1,10,2,0,8,6,10,8,7,9,8,9
n188,10,1,0,0,2,9,9,6,10,0,0,4,1,9,10,6,0,7,1,10,8,0,8,6,10,8,7,9,2,9
n187,10,1,0,0,2,9,9,6,10,0,7,4,1,9,10,6,0,7,1,10,0,4,8,6,10,8,7,9,2,9
n192,10,1,6,0,2,9,9,6,10,0,1,4,1,9,10,6,4,7,1,10,6,3,8,6,10,8,7,9,0,9
n191,10,1,6,0,2,9,9,6,10,0,1,4,1,9,10,6,0,7,1,10,6,3,8,6,10,8,7,9,0,9
n194,10,1,9,0,2,9,9,6,10,8,0,4,1,9,10,6,0,7,1,10,0,3,8,6,10,8,7,9,0,9
n193,10,1,9,0,2,9,9,6,10,8,0,4,1,9,10,6,0,7,1,10,0,3,8,6,10,8,7,9,0,9
n204,10,1,1,6,3,9,10,6,10,0,1,8,10,9,10,9,8,0,1,10,5,0,8,6,10,8,7,9,8,9
n203,10,1,1,6,3,9,10,6,10,8,1,8,10,9,10,9,8,0,1,10,5,5,8,6,10,8,7,0,8,9
n206,10,1,1,6,3,9,1,6,10,0,0,8,10,9,10,9,0,9,1,10,4,0,8,6,10,8,7,10,8,9
n205,10,1,1,6,3,9,1,6,10,0,0,8,10,9,10,9,0,9,1,10,4,0,8,6,10,8,7,10,8,9
n210,10,1,1,6,3,9,9,6,10,2,7,8,10,9,10,9,8,8,1,10,0,0,8,6,10,8,7,0,8,9
n209,10,1,1,6,3,9,9,6,10,2,0,8,10,9,10,9,8,8,1,10,0,0,8,6,10,8,7,0,8,9
n212,10,1,1,6,3,9,0,6,10,1,0,8,10,9,10,9,4,8,1,10,0,0,8,6,10,8,7,0,8,9
n211,10,1,1,6,3,9,0,6,10,1,6,8,10,9,10,9,4,8,1,10,6,9,8,6,10,8,7,0,8,9
n218,10,1,0,4,3,9,0,6,10,0,10,8,10,9,10,9,0,1,1,10,0,5,8,6,10,8,7,9,0,9
n217,10,1,0,0,3,9,0,6,10,0,10,8,10,9,10,9,0,1,1,10,0,0,8,6,10,8,7,9,0,9
n220,10,1,7,8,3,9,0,6,10,0,10,8,10,9,10,9,8,0,1,10,0,6,8,6,10,8,7,9,0,9
n219,10,1,7,0,3,9,4,6,10,0,10,8,10,9,10,9,0,0,1,10,0,0,8,6,10,8,7,9,0,9
n224,10,1,4,1,3,9,0,6,10,0,10,8,10,9,10,9,9,6,1,10,0,8,8,6,10,8,7,9,0,9
n223,10,1,4,1,3,9,0,6,10,0,10,8,10,9,10,9,9,0,1,10,0,8,8,6,10,8,7,9,0,9
n226,10,1,4,1,3,9,0,6,10,0,10,8,10,9,10,9,9,9,1,10,8,8,8,6,10,8,7,9,2,9
n225,10,1,4,1,3,9,0,6,10,3,10,8,10,9,10,9,9,0,1,10,8,8,8,6,10,8,7,9,0,9
n234,10,1,4,0,3,9,4,6,10,10,6,8,10,9,10,2,6,1,0,10,1,4,8,6,10,8,7,1,10,9
n233,10,1,4,0,3,9,7,6,10,10,6,8,10,9,10,0,0,1,0,10,1,4,8,6,10,8,7,1,10,9
n236,10,1,4,0,3,9,0,6,10,10,6,8,10,9,10,0,0,1,0,10,1,4,8,6,10,8,7,1,10,9
n235,10,1,4,0,3,9,0,6,10,10,6,8,10,9,10,0,2,1,0,10,1,4,8,6,10,8,7,1,10,9
n240,10,1,10,0,3,9,0,6,10,10,6,8,10,9,10,0,9,1,0,10,1,3,8,6,10,8,7,1,10,9
n239,10,1,10,0,3,9,0,6,10,10,6,8,10,9,10,7,9,1,0,10,1,3,8,6,10,8,7,1,10,9
n242,10,1,9,0,3,9,0,6,10,10,6,8,10,9,10,0,9,1,4,10,1,3,8,6,10,8,7,1,10,9
