cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,0,1,3,5,2,7,0,10,3,10
n15,7,1,3,5,2,7,0,10,3,10
n18,0,1,3,5,2,7,9,10,3,10
n17,0,1,3,5,2,7,9,10,3,10
n22,9,1,3,5,2,7,3,10,3,10
n21,9,1,3,5,2,7,3,10,3,10
n24,9,1,3,5,2,7,3,10,3,10
n23,9,1,3,5,2,7,3,10,3,10
n30,1,1,3,5,2,7,0,10,4,10
n29,1,1,3,5,2,7,0,10,0,10
n32,1,1,3,5,2,7,0,10,0,10
n31,1,1,3,5,2,7,10,10,0,10
n36,5,1,3,5,2,7,0,10,0,10
n35,5,1,3,5,2,7,10,10,0,10
n38,0,1,3,5,2,7,0,10,0,10
n37,0,1,3,5,2,7,0,10,0,10
n46,5,0,3,5,2,7,1,7,4,10
n45,5,0,3,5,2,7,0,7,4,10
n48,5,0,3,5,2,7,10,7,4,10
n47,5,0,3,5,2,7,10,7,4,10
n52,5,0,3,5,2,7,0,0,4,10
n51,5,0,3,5,2,7,4,0,4,10
n54,5,0,3,5,2,7,0,0,4,10
n53,5,0,3,5,2,7,0,0,4,10
n60,5,3,3,5,2,7,2,6,4,10
n59,5,3,3,5,2,7,2,6,4,10
n62,5,3,3,5,2,7,2,6,4,10
n61,5,3,3,5,2,7,2,6,4,10
n66,5,7,3,5,2,7,2,6,4,10
n65,5,7,3,5,2,7,2,6,4,10
n68,5,3,3,5,2,7,2,6,4,10
n67,5,3,3,5,2,7,2,6,4,10
n78,2,6,3,5,2,3,1,5,4,1
n77,2,6,3,5,2,3,0,5,4,1
n80,2,6,3,5,2,3,10,5,4,6
n79,2,6,3,5,2,3,10,5,4,6
n84,2,6,3,5,2,3,0,5,4,4
n83,2,6,3,5,2,3,7,5,4,0
n86,2,6,3,5,2,3,0,5,4,0
n85,2,6,3,5,2,3,5,5,4,0
n92,0,7,3,5,2,3,9,5,4,5
n91,0,7,3,5,2,3,9,5,4,0
n94,0,7,3,5,2,3,9,5,4,0
n93,0,7,3,5,2,3,9,5,4,0
n98,4,9,3,5,2,3,1,5,4,6
n97,4,9,3,5,2,3,1,5,4,0
n100,4,0,3,5,2,3,0,5,4,3
n99,4,3,3,5,2,3,0,5,4,0
n108,10,3,3,5,2,0,1,5,8,4
n107,10,3,3,5,2,0,1,5,8,0
n110,0,3,3,5,2,0,1,5,3,0
n109,0,3,3,5,2,7,1,5,3,1
n114,0,3,3,5,2,9,2,5,5,7
n113,0,3,3,5,2,9,0,5,5,1
n116,0,3,3,5,2,0,5,5,5,0
n115,0,3,3,5,2,0,5,5,5,0
n122,8,5,3,5,2,0,6,5,0,0
n121,0,5,3,5,2,0,6,5,10,0
n124,8,5,3,5,2,0,6,5,2,0
n123,8,5,3,5,2,0,6,5,2,0
n128,0,10,3,5,2,9,6,5,0,0
n127,0,10,3,5,2,9,6,5,0,0
n130,0,10,3,5,2,0,10,5,0,0
n129,2,10,3,5,2,0,10,5,10,0
n142,8,2,3,0,2,8,0,4,2,0
n141,8,2,3,0,2,8,0,4,2,0
n144,8,2,3,3,2,8,4,4,2,0
n143,8,2,3,3,2,8,4,4,2,0
n148,8,10,3,7,2,8,8,4,0,0
n147,8,10,3,7,2,8,8,4,0,0
n150,8,10,3,5,2,8,8,4,0,0
n149,8,10,3,0,2,8,8,4,0,0
n156,0,6,3,7,2,0,0,4,3,10
n155,0,6,3,0,2,0,0,4,0,0
n158,0,6,3,0,2,0,0,4,4,0
n157,0,6,3,0,2,2,0,4,0,0
n162,0,6,3,1,2,0,0,4,0,1
n161,0,6,3,1,2,0,0,4,0,1
n164,0,6,3,0,2,0,9,4,7,10
n163,0,6,3,0,2,0,0,4,0,10
n172,8,3,3,8,2,1,1,4,3,0
n171,8,3,3,8,2,1,1,4,3,0
n174,8,3,3,8,2,1,1,4,3,0
n173,8,3,3,8,2,1,1,4,3,0
n178,8,0,3,0,2,1,0,4,0,0
n177,8,0,3,0,2,1,4,4,0,0
n180,8,0,3,0,2,1,2,4,4,9
n179,8,0,3,0,2,1,2,4,4,9
n186,9,0,3,0,2,0,5,4,9,0
n185,0,0,3,0,2,0,5,4,9,0
n188,0,0,3,0,2,3,5,4,9,6
n187,0,0,3,0,2,3,5,4,9,6
n192,1,0,3,9,2,0,0,4,9,0
n191,1,0,3,0,2,0,0,4,9,0
n194,1,0,3,0,2,9,0,4,9,0
n193,1,0,3,0,2,0,0,4,9,0
n204,10,9,3,5,2,0,10,4,3,2
n203,10,9,3,5,2,0,10,4,3,2
