cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,1,2,8,9,10,8,3,5,3,3
n15,1,2,8,9,10,8,3,5,3,3
n18,1,2,8,9,10,8,3,5,3,3
n17,1,2,8,9,10,8,3,5,3,3
n22,1,2,2,9,10,8,3,5,3,3
n21,1,2,2,9,10,8,3,5,3,3
n24,1,2,2,9,10,8,3,5,3,3
n23,1,2,2,9,10,8,3,5,3,3
n30,1,2,0,9,10,8,3,4,3,3
n29,1,2,0,9,10,8,3,4,3,3
n32,1,2,1,9,10,8,3,0,3,3
n31,1,2,1,9,10,8,3,0,3,3
n36,1,2,1,9,10,8,3,3,3,3
n35,1,2,1,9,10,8,3,3,3,3
n38,1,2,1,9,10,8,3,3,3,3
n37,1,2,1,9,10,8,3,3,3,3
n46,1,2,0,0,6,8,3,9,3,3
n45,1,2,0,0,6,8,3,9,3,3
n48,1,2,0,0,6,8,3,0,3,3
n47,1,2,0,0,6,8,3,0,3,3
n52,1,2,0,0,6,8,3,10,3,3
n51,1,2,8,0,6,8,3,10,3,3
n54,1,2,0,0,6,8,3,10,3,3
n53,1,2,0,1,6,8,3,10,3,3
n60,1,2,0,0,0,8,3,4,3,3
n59,1,2,6,3,0,8,3,4,3,3
n62,1,2,10,0,7,8,3,4,3,3
n61,1,2,0,0,3,8,3,4,3,3
n66,1,2,0,0,5,8,3,0,3,3
n65,1,2,0,0,5,8,3,8,3,3
n68,1,2,10,3,9,8,3,0,3,3
n67,1,2,0,3,0,8,3,0,3,3
n78,1,3,10,0,9,8,3,8,7,3
n77,1,3,10,9,9,8,3,8,7,3
n80,1,0,10,2,9,8,3,0,7,3
n79,1,0,10,2,9,8,3,0,7,3
n84,1,3,10,0,0,8,3,0,7,3
n83,1,0,10,0,0,8,3,3,7,3
n86,1,4,10,0,0,8,3,0,7,3
n85,1,4,10,0,0,8,3,0,7,3
n92,1,6,1,0,8,8,3,9,0,3
n91,1,6,1,0,8,8,3,0,0,3
n94,1,6,1,0,8,8,3,4,8,3
n93,1,6,1,0,8,8,3,0,8,3
n98,1,6,1,6,8,8,3,0,8,3
n97,1,6,1,0,8,8,3,0,8,3
n100,1,6,1,2,8,8,3,0,8,3
n99,1,6,1,0,8,8,3,0,8,3
n108,1,0,8,0,0,8,3,8,4,3
n107,1,0,8,0,0,8,3,8,4,3
n110,1,0,8,0,1,8,3,8,0,3
n109,1,0,8,0,1,8,3,8,0,3
n114,1,5,8,2,0,8,3,8,0,3
n113,1,5,8,0,0,8,3,8,0,3
n116,1,0,8,0,0,8,3,8,0,3
n115,1,0,8,0,0,8,3,8,0,3
n122,1,9,4,0,0,8,3,8,9,3
n121,1,9,4,0,0,8,3,8,9,3
n124,1,9,4,0,0,8,3,8,0,3
n123,1,9,4,8,0,8,3,8,5,3
n128,1,0,4,6,0,8,3,8,0,3
n127,1,0,4,0,0,8,3,8,0,3
n130,1,0,4,8,0,8,3,8,7,3
n129,1,2,4,8,0,8,3,8,7,3
n142,1,10,4,2,6,8,10,4,0,3
n141,1,0,4,2,6,8,10,4,8,3
n144,1,10,4,2,6,8,10,4,0,3
n143,1,0,4,2,6,8,10,4,3,3
n148,1,0,4,2,6,8,10,4,7,3
n147,1,0,4,2,6,8,10,4,7,3
n150,1,0,4,2,6,8,10,4,0,3
n149,1,0,4,2,6,8,10,4,0,3
n156,1,2,4,2,6,8,10,4,0,3
n155,1,2,4,2,6,8,10,4,0,3
n158,1,2,4,2,6,8,10,4,2,3
n157,1,2,4,2,6,8,10,4,2,3
n162,1,0,4,2,6,8,10,4,0,3
n161,1,0,4,2,6,8,10,4,0,3
n164,1,0,4,2,6,8,10,4,0,3
n163,1,3,4,2,6,8,10,4,0,3
n172,1,7,7,2,6,8,10,4,8,3
n171,1,7,7,2,6,8,10,4,8,3
n174,1,0,7,2,6,8,10,4,0,3
n173,1,0,7,2,6,8,10,4,2,3
n178,1,1,7,2,6,8,10,4,10,3
n177,1,0,7,2,6,8,10,4,0,3
n180,1,7,7,2,6,8,10,4,0,3
n179,1,7,7,2,6,8,10,4,0,3
n186,1,0,1,2,6,8,10,4,0,3
n185,1,0,1,2,6,8,10,4,0,3
n188,1,0,0,2,6,8,10,4,0,3
n187,1,0,0,2,6,8,10,4,0,3
n192,1,0,10,2,6,8,10,4,7,3
n191,1,0,10,2,6,8,10,4,0,3
n194,1,6,10,2,6,8,10,4,0,3
