,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29
184,?,0,3,3,8,6,?,1,?,7,4,5,3,?,4,0,0,0,5,0,0,4,0,?,5,7,0,0,0,3
200,?,?,2,8,1,2,8,4,4,?,0,0,7,0,0,?,?,2,5,2,0,4,0,8,0,7,4,0,0,0
220,8,2,8,8,1,0,0,4,4,1,4,7,7,0,0,7,8,0,5,2,0,4,2,8,5,7,0,0,0,0
222,?,0,6,5,1,1,4,0,7,0,0,0,2,0,0,5,1,?,2,8,6,?,?,0,1,7,0,3,0,2
223,7,0,6,5,1,1,4,0,7,0,0,0,2,0,0,5,0,6,?,8,6,6,0,0,1,7,0,3,0,2
230,2,0,3,8,0,0,?,4,4,0,0,0,7,?,0,7,8,2,5,2,0,4,0,8,0,7,0,3,4,2
239,?,0,?,8,1,?,4,2,?,1,0,0,7,0,?,7,8,3,5,2,0,4,?,8,0,7,?,4,0,0
240,7,0,6,5,1,1,0,0,7,?,0,0,0,3,0,5,1,6,3,0,0,0,0,?,1,?,0,0,0,2
250,0,0,8,8,1,0,0,?,4,1,?,7,7,0,0,7,8,0,?,2,5,4,2,8,5,7,0,0,3,0
256,7,1,6,5,1,1,0,7,7,?,2,0,?,0,0,?,1,6,3,0,?,7,0,0,1,7,0,0,3,?
257,7,?,6,4,1,1,?,7,7,0,0,0,0,0,0,5,1,6,3,0,0,7,0,?,?,7,7,0,3,?
258,2,0,8,8,1,0,4,4,4,1,?,7,7,0,1,7,8,0,5,2,0,4,2,8,5,7,7,?,8,0
263,5,6,5,4,0,6,5,8,?,7,6,6,0,3,3,1,0,2,5,0,6,4,0,7,0,?,0,0,2,3
271,2,0,3,8,0,0,3,4,4,0,7,0,7,2,0,7,?,?,5,2,0,4,?,8,?,7,2,0,7,2
273,0,?,8,8,1,0,5,?,4,1,0,8,7,4,7,7,8,0,5,2,3,4,2,8,0,7,0,4,0,8
276,2,0,0,2,1,5,0,?,4,0,?,0,7,0,2,7,8,0,5,?,?,4,0,8,7,7,?,0,0,?
277,2,?,0,8,1,5,6,4,4,0,0,?,7,0,2,7,8,0,5,2,0,4,0,8,7,7,0,0,0,0
278,5,0,0,3,0,4,2,7,4,7,4,?,3,0,6,0,0,4,5,1,0,?,2,4,5,7,0,4,6,3
279,5,?,0,3,0,6,2,7,4,7,4,5,3,1,6,0,0,4,5,1,0,4,2,4,5,7,0,4,6,3
280,0,0,8,8,1,0,0,?,?,1,0,7,7,0,0,7,8,0,5,2,?,4,2,8,8,7,0,0,0,6
281,0,?,8,8,1,0,0,4,4,1,0,7,7,0,7,7,8,0,5,2,6,4,2,8,8,?,?,0,0,6
282,2,0,3,8,0,?,0,4,4,0,?,?,7,2,0,7,8,2,5,2,0,4,0,8,0,7,0,0,4,2
283,2,0,3,8,0,0,0,4,4,0,0,0,7,?,0,7,8,2,5,2,0,4,0,?,0,7,0,0,4,?
284,5,8,?,0,4,6,?,7,7,7,?,5,0,6,2,4,0,0,5,0,2,4,?,0,7,7,5,?,0,3
285,0,8,8,0,4,6,6,7,7,7,0,5,0,6,2,4,0,0,5,0,0,4,1,0,7,7,5,3,0,3
287,5,6,5,4,0,6,0,0,0,7,6,6,7,3,3,1,6,2,5,0,0,?,0,7,0,7,0,0,2,3
288,7,0,6,5,?,1,7,0,7,0,?,0,0,3,0,5,1,6,3,0,0,0,0,0,1,7,0,0,0,2
291,5,6,?,0,?,6,0,7,4,7,?,?,?,8,3,0,2,0,5,0,4,4,3,7,8,7,0,0,6,3
292,5,6,5,4,8,6,8,6,0,7,6,6,0,3,3,1,4,0,5,0,0,4,?,7,4,7,0,1,2,3
293,5,6,5,4,8,4,0,1,0,7,6,6,0,3,3,1,4,0,5,0,0,4,0,7,0,7,0,1,2,3
294,5,6,5,0,0,6,6,0,4,7,3,0,6,0,3,0,0,0,?,0,4,?,0,7,8,7,1,0,?,3
295,5,6,5,0,0,?,6,0,?,7,3,0,6,0,3,4,0,0,5,0,0,4,0,7,8,?,1,0,6,?
296,2,0,3,8,4,0,0,4,4,?,?,?,?,2,0,7,8,2,?,2,0,4,0,8,0,7,0,0,4,?
297,2,0,?,8,0,0,0,4,4,0,0,1,7,2,0,7,8,?,5,2,0,4,0,3,0,7,0,0,4,2
298,5,?,8,0,4,6,6,7,?,?,4,5,1,6,2,4,0,0,5,0,0,4,1,0,7,7,5,?,0,3
299,5,8,8,0,4,6,6,7,7,7,4,5,0,6,2,4,0,0,5,0,0,4,1,?,7,7,5,?,0,3
300,5,6,5,0,0,6,6,0,7,7,3,7,6,0,3,0,0,4,5,1,0,?,8,7,?,7,0,0,6,3
301,5,6,?,0,0,6,6,0,1,7,3,7,6,0,?,0,0,0,5,1,0,4,8,7,?,7,0,0,6,3
302,2,0,3,8,0,?,1,?,4,0,0,0,7,?,0,1,8,4,5,2,0,4,0,8,0,7,0,?,4,2
304,5,6,5,?,?,6,?,7,0,7,3,0,7,0,3,6,0,0,5,0,0,4,5,7,0,7,?,0,?,3
305,5,6,5,6,3,6,0,7,0,7,3,0,7,0,3,6,0,0,?,0,0,4,5,7,0,7,2,3,6,3
308,7,?,6,?,1,1,0,0,7,5,5,0,4,3,3,5,1,6,3,0,0,0,5,0,?,7,0,?,0,2
309,7,0,6,?,1,1,0,0,7,0,0,0,4,3,3,5,1,6,3,0,6,0,5,0,1,7,0,0,0,2
310,5,0,8,3,0,6,2,7,4,7,4,5,3,0,?,0,0,0,?,1,?,4,2,5,5,7,0,4,0,?
311,5,5,8,3,7,6,2,7,4,7,?,5,3,0,6,0,0,0,5,?,0,4,2,5,5,7,0,4,5,3
312,5,6,5,4,2,?,0,0,0,7,6,6,7,3,3,1,6,2,5,0,0,?,1,7,0,7,0,0,?,3
314,7,0,6,5,1,1,0,0,7,4,0,0,0,0,6,5,1,6,2,8,?,6,0,0,1,7,5,0,0,2
315,?,0,6,5,1,1,0,0,?,?,0,0,1,0,0,5,1,6,?,?,0,6,0,0,?,7,0,0,0,2
317,0,0,8,8,1,8,0,4,4,1,0,5,7,8,7,7,8,0,5,2,0,?,2,8,?,7,2,4,0,0
318,5,6,5,?,?,?,6,?,?,7,3,3,6,0,3,0,0,0,5,0,7,4,0,7,?,7,1,0,6,3
319,5,?,5,7,0,6,6,0,0,7,3,3,6,0,3,2,0,0,5,0,7,4,6,7,8,7,1,0,6,3
320,0,0,8,8,1,0,?,4,4,1,0,7,?,0,0,7,?,0,?,2,4,4,2,8,5,8,0,2,?,0
321,0,0,8,8,1,0,0,4,4,1,0,7,?,0,0,?,?,0,5,2,4,4,2,8,5,7,0,0,3,0
322,2,0,2,8,?,0,0,4,4,4,0,?,?,0,0,7,8,2,5,2,?,4,0,4,0,7,2,0,0,2
323,2,?,2,8,1,0,0,?,4,4,0,?,7,?,7,7,8,?,5,2,?,4,0,8,7,7,2,0,0,?
324,0,2,8,?,1,4,0,4,4,1,1,7,7,7,0,7,8,0,5,2,0,4,2,8,5,7,0,?,2,5
325,0,2,8,8,1,?,0,4,4,1,1,7,7,7,0,?,8,0,5,2,0,4,2,8,5,7,0,0,2,2
326,2,5,0,8,?,3,4,4,4,4,0,0,7,0,1,7,8,0,5,2,0,4,0,8,?,7,0,0,0,2
327,2,?,0,8,1,3,4,4,4,4,?,0,7,0,1,7,8,0,5,?,0,4,0,8,0,?,0,?,0,2
328,0,0,8,?,1,0,0,4,4,1,0,0,?,0,7,?,8,0,5,2,3,4,?,8,0,7,0,4,0,0
329,0,0,8,?,1,0,0,4,4,1,0,?,7,0,7,7,8,0,5,2,3,4,2,8,0,7,0,4,0,0
330,0,8,8,8,1,8,0,4,4,1,0,6,7,?,7,?,8,0,1,2,0,4,2,8,0,7,0,4,6,?
331,0,8,8,8,1,8,0,4,5,1,0,6,?,3,7,?,?,0,5,2,0,4,2,8,0,7,0,4,6,0
332,2,1,0,8,1,5,0,4,4,0,8,0,7,8,6,7,8,0,5,2,0,4,0,8,7,7,0,0,0,0
333,2,1,0,8,1,5,0,?,4,0,0,0,7,0,2,7,8,0,5,2,0,4,0,8,7,7,0,0,0,?
334,?,0,0,8,?,5,6,4,4,0,7,4,7,0,3,?,?,0,5,2,0,4,0,8,7,7,0,0,?,4
335,2,0,0,8,1,5,6,?,4,0,7,?,7,0,3,7,8,0,5,?,0,4,5,8,7,?,?,0,0,4
336,0,5,8,8,1,3,0,4,4,?,0,0,2,0,7,7,8,0,5,2,0,4,2,8,0,7,7,4,0,0
337,0,5,8,8,1,3,0,4,4,1,0,0,7,0,7,7,?,0,5,2,?,4,2,8,7,7,?,4,0,0
338,2,1,3,8,0,0,?,4,1,0,7,?,7,2,0,7,?,?,5,2,?,4,0,8,8,7,?,0,?,2
339,2,1,2,8,0,0,3,4,4,0,0,0,7,2,0,2,8,7,5,?,0,4,0,8,8,7,0,0,?,2
340,8,5,8,8,1,3,6,4,4,1,0,0,7,0,7,7,?,4,5,2,0,4,2,8,7,7,0,0,0,0
341,8,5,8,8,?,5,6,?,4,1,0,0,7,0,7,7,8,4,5,2,0,4,2,8,7,7,0,0,0,0
342,?,6,4,8,1,5,6,4,4,0,7,4,7,0,0,7,8,7,5,2,0,4,?,8,7,7,0,0,0,4
343,2,0,4,8,1,5,?,4,4,0,7,?,7,0,0,7,8,7,5,2,0,4,0,8,7,7,0,0,0,4
344,5,6,5,7,0,6,6,0,0,7,3,0,?,0,3,0,0,0,5,0,0,4,0,?,8,?,1,0,6,3
345,?,6,5,7,0,6,6,0,0,7,3,0,6,0,3,0,0,0,5,0,0,4,0,7,8,7,1,0,3,3
347,2,5,0,8,?,0,4,4,4,4,0,0,7,0,0,7,8,0,5,2,?,?,0,?,0,?,0,5,0,2
348,5,8,8,0,4,6,6,7,?,7,4,5,0,6,0,4,0,3,5,5,5,4,1,0,7,7,5,3,0,3
349,?,?,8,0,4,6,6,7,0,7,4,8,2,6,0,4,0,3,5,0,5,4,1,0,7,7,5,3,?,3
350,5,6,5,4,8,6,0,6,4,7,6,?,0,3,3,1,4,0,5,0,4,4,0,7,0,7,?,1,2,3
351,5,6,5,4,8,6,0,6,?,7,6,6,0,3,3,1,4,0,5,0,4,4,?,7,0,7,0,1,2,?
352,0,0,8,8,1,5,5,4,4,1,?,8,?,0,7,7,8,0,5,2,3,4,2,8,?,7,0,4,0,8
353,0,0,8,8,?,0,5,?,4,1,0,8,7,0,?,7,8,0,5,2,3,4,2,8,0,7,0,?,0,8
354,2,5,6,8,1,0,4,4,4,?,0,0,7,2,4,7,8,0,5,2,0,4,1,8,0,7,0,3,0,2
355,2,5,6,?,1,0,4,4,1,4,0,0,7,2,4,7,8,0,5,2,?,4,0,8,0,7,0,3,0,2
356,2,1,3,8,0,?,3,4,4,0,5,0,7,2,0,7,8,7,5,2,?,4,?,8,8,7,0,0,0,2
357,2,1,3,8,0,0,?,4,4,0,5,0,7,2,0,7,8,7,5,2,7,4,0,8,8,7,0,0,0,2
358,7,0,6,?,1,1,?,0,7,0,0,0,0,7,0,5,1,?,?,8,0,6,6,4,1,7,0,0,0,2
359,?,0,6,?,1,1,0,0,7,0,0,0,0,7,0,5,1,6,?,8,0,6,6,4,1,7,0,0,0,2
360,7,0,6,5,1,1,0,0,?,0,0,0,?,3,0,5,1,6,3,0,0,0,0,0,1,7,0,0,0,2
361,7,0,6,5,1,1,0,0,7,?,0,0,0,3,0,5,1,6,3,0,0,0,0,?,1,7,0,0,0,2
362,0,0,8,8,1,8,4,4,4,1,0,?,7,0,7,7,8,6,5,2,0,4,2,8,0,?,0,4,0,0
363,0,?,8,8,1,8,4,4,?,1,0,0,7,0,7,7,8,6,5,2,0,4,2,8,0,7,0,4,0,0
364,2,0,0,8,1,5,6,4,4,0,7,4,7,0,0,7,8,7,5,2,0,4,0,8,7,7,5,1,0,4
365,2,0,0,8,1,5,6,?,4,0,7,4,?,0,0,7,8,7,5,2,0,4,?,?,7,7,5,0,0,4
366,2,0,3,8,0,0,?,4,4,0,0,0,7,2,0,7,8,4,5,2,?,4,0,?,0,7,0,2,0,2
367,2,0,3,8,0,0,1,4,4,0,0,0,7,2,?,7,8,6,5,2,0,4,0,8,?,7,0,2,0,2
368,2,0,8,8,1,0,4,?,?,?,0,7,7,0,8,?,8,0,5,2,0,4,2,8,0,7,7,0,8,?
369,2,0,8,8,1,0,4,4,4,1,0,7,7,0,1,7,8,4,5,2,0,4,2,8,0,7,7,0,8,0
