cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
216_28,2,1,2,0,2,0,0,0,2,1
216_29,2,1,2,0,2,0,0,0,2,1
216_31,2,2,2,0,2,2,2,2,2,1
216_30,2,2,2,0,2,2,0,2,2,0
216_33,2,2,2,1,2,2,0,0,2,2
216_32,2,2,2,1,2,2,0,0,2,2
216_35,2,2,2,0,2,2,0,0,0,2
216_34,2,2,2,0,2,2,0,0,0,2
216_25,0,2,1,2,1,0,2,2,1,2
216_24,0,2,0,2,1,0,2,2,1,2
216_27,0,2,0,2,1,0,2,2,1,2
216_26,0,2,0,2,1,0,2,2,1,2
216_21,0,2,1,2,0,0,1,1,1,1
216_23,0,2,1,2,0,2,1,0,1,1
216_22,1,2,1,2,0,2,1,0,1,1
216_20,1,2,1,2,1,0,1,0,2,2
216_19,1,2,1,2,1,0,1,2,0,2
216_18,0,2,1,2,1,0,1,2,0,2
216_17,0,2,1,2,1,0,1,2,0,2
216_4,2,2,1,0,0,1,1,1,0,1
216_11,2,2,0,1,0,1,0,2,2,1
216_10,2,1,0,1,1,1,0,0,2,1
216_7,2,0,2,0,1,1,2,0,2,1
216_6,2,0,2,0,1,1,2,0,2,1
216_9,2,0,2,2,1,1,2,0,2,1
216_8,2,0,0,2,1,1,2,0,2,1
