cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,0,5,5,9,7,5,10,9,2,5
n15,0,5,5,9,7,5,10,9,2,5
n18,0,5,5,9,7,5,10,9,2,5
n17,0,5,5,9,7,5,10,9,2,5
n22,1,5,5,9,7,5,10,7,2,5
n21,0,5,5,9,7,5,10,0,2,5
n24,1,5,5,9,7,5,10,9,2,5
n23,1,5,5,9,7,5,10,0,2,5
n30,0,5,5,0,7,5,10,3,2,5
n29,0,5,5,0,7,5,10,0,2,5
n32,4,5,5,1,7,5,10,4,2,5
n31,0,5,5,1,7,5,10,4,2,5
n36,3,5,5,0,7,5,10,3,2,5
n35,3,5,5,6,7,5,10,3,2,5
n38,3,5,5,0,7,5,10,0,2,5
n37,3,5,5,0,7,5,10,0,2,5
n46,0,5,5,1,7,5,10,10,2,5
n45,0,5,5,1,7,5,10,10,2,5
n48,0,5,5,1,7,5,10,10,2,5
n47,0,5,5,1,7,5,10,10,2,5
n52,0,5,5,1,7,5,10,10,2,5
n51,2,5,5,1,7,5,10,10,2,5
n54,0,5,5,1,7,5,10,10,2,5
n53,0,5,5,1,7,5,10,10,2,5
n60,6,5,5,0,7,5,10,10,2,5
n59,6,5,5,0,7,5,10,10,2,5
n62,6,5,5,0,7,5,10,10,2,5
n61,6,5,5,0,7,5,10,10,2,5
n66,6,5,5,2,7,5,10,10,2,5
n65,6,5,5,2,7,5,10,10,2,5
n68,6,5,5,0,7,5,10,10,2,5
n67,6,5,5,0,7,5,10,10,2,5
n78,0,0,5,4,7,6,10,1,2,5
n77,5,0,5,4,7,6,10,1,2,5
n80,0,0,5,4,7,6,10,1,2,5
n79,0,0,5,4,7,6,10,1,2,5
n84,0,7,5,2,7,6,10,1,2,5
n83,0,7,5,2,7,6,10,1,2,5
n86,0,7,5,0,7,6,10,1,2,5
n85,0,7,5,0,7,6,10,1,2,5
n92,10,10,5,6,7,6,10,7,2,5
n91,10,10,5,6,7,6,10,7,2,5
n94,10,10,5,6,7,6,10,7,2,5
n93,10,10,5,6,7,6,10,7,2,5
n98,10,10,5,6,7,6,10,6,2,5
n97,10,10,5,6,7,6,10,6,2,5
n100,10,10,5,6,7,6,10,6,2,5
n99,10,10,5,6,7,6,10,6,2,5
n108,10,0,5,8,7,0,10,2,2,5
n107,10,0,5,8,7,0,10,0,2,5
n110,10,3,5,8,7,0,10,0,2,5
n109,10,4,5,8,7,5,10,0,2,5
n114,0,0,5,8,7,0,10,7,2,5
n113,0,0,5,8,7,3,10,7,2,5
n116,7,0,5,8,7,0,10,7,2,5
n115,7,0,5,8,7,0,10,7,2,5
n122,9,0,5,0,7,7,10,3,2,5
n121,9,0,5,8,7,7,10,3,2,5
n124,9,0,5,0,7,0,10,3,2,5
n123,9,0,5,0,7,0,10,3,2,5
n128,0,8,5,5,7,0,10,3,2,5
n127,0,0,5,5,7,0,10,3,2,5
n130,0,10,5,5,7,0,10,3,2,5
n129,0,10,5,5,7,0,10,3,2,5
n142,6,3,5,7,7,8,10,3,1,0
n141,6,3,5,7,7,0,10,3,1,0
n144,6,3,5,7,7,0,10,3,1,0
n143,6,3,5,7,7,0,10,3,1,0
n148,6,3,5,0,7,0,10,3,1,1
n147,6,3,5,2,7,0,10,3,1,1
n150,6,3,5,0,7,0,10,3,1,1
n149,6,3,5,0,7,0,10,3,1,1
n156,6,0,5,6,7,2,10,0,1,6
n155,6,0,5,6,7,2,10,2,1,6
n158,6,0,5,0,7,2,10,0,1,6
n157,6,0,5,2,7,2,10,0,1,6
n162,6,0,5,0,7,0,10,1,1,1
n161,6,0,5,7,7,0,10,1,1,1
n164,6,0,5,0,7,0,10,0,1,1
n163,6,0,5,0,7,0,10,0,1,1
n172,0,10,5,1,7,0,10,6,1,0
n171,0,10,5,1,7,9,10,6,1,0
n174,4,10,5,0,7,5,10,6,1,0
n173,4,10,5,2,7,6,10,6,1,0
n178,9,10,5,0,7,0,10,6,1,9
n177,9,10,5,0,7,4,10,6,1,0
n180,5,10,5,3,7,4,10,0,1,3
n179,5,10,5,0,7,4,10,0,1,6
n186,0,4,5,0,7,9,10,6,1,0
n185,0,4,5,0,7,0,10,6,1,0
n188,8,0,5,6,7,0,10,6,1,0
n187,8,0,5,6,7,0,10,0,1,0
n192,0,10,5,0,7,0,10,7,1,8
n191,0,10,5,0,7,0,10,7,1,8
n194,0,0,5,0,7,0,10,7,1,8
n193,0,8,5,0,7,0,10,7,1,8
n204,0,0,5,0,7,0,10,0,1,0
n203,0,0,5,0,7,0,10,0,1,0
n206,9,6,5,0,7,0,10,0,1,5
n205,9,6,5,0,7,0,10,0,1,0
n210,0,9,5,1,7,0,10,0,1,0
n209,0,9,5,1,7,0,10,6,1,0
n212,0,0,5,0,7,2,10,1,1,0
n211,0,5,5,0,7,0,10,0,1,0
n218,9,0,5,5,7,6,10,0,1,0
n217,0,0,5,5,7,6,10,0,1,0
n220,8,0,5,5,7,6,10,3,1,0
n219,0,0,5,5,7,6,10,3,1,0
n224,0,0,5,5,7,6,10,5,1,0
n223,0,0,5,5,7,6,10,5,1,0
n226,0,0,5,5,7,6,10,9,1,6
n225,0,3,5,5,7,6,10,0,1,6
n234,0,0,5,1,7,1,10,5,1,3
n233,0,0,5,1,7,1,10,0,1,3
n236,0,0,5,1,7,1,10,0,1,0
n235,0,0,5,1,7,1,10,0,1,0
n240,9,0,5,1,7,1,10,4,1,7
n239,9,5,5,1,7,1,10,4,1,0
n242,9,9,5,1,7,1,10,4,1,0
n241,9,9,5,1,7,1,10,4,1,0
n248,0,0,5,1,7,9,10,10,1,8
n247,0,6,5,1,7,9,10,10,1,8
n250,0,0,5,1,7,9,10,10,1,8
n249,0,0,5,1,7,9,10,10,1,8
n254,0,10,5,1,7,3,10,10,1,9
n253,0,10,5,1,7,0,10,10,1,9
n256,0,10,5,1,7,0,10,10,1,0
n255,0,10,5,1,7,0,10,10,1,0
n270,0,1,5,0,7,8,2,0,10,10
n269,0,1,5,0,7,8,2,0,10,10
n272,0,1,5,5,7,8,2,0,10,10
n271,2,1,5,0,7,8,2,0,10,10
n276,0,1,5,3,7,8,2,0,10,10
n275,0,1,5,0,7,8,2,6,10,10
n278,0,1,5,6,7,8,2,0,10,10
n277,3,1,5,6,7,8,2,0,10,10
n284,2,1,5,7,7,8,2,0,10,10
n283,2,1,5,0,7,8,2,0,10,10
n286,2,1,5,0,7,8,2,0,10,10
n285,2,1,5,0,7,8,2,0,10,10
n290,5,1,5,8,7,8,2,0,10,10
n289,0,1,5,8,7,8,2,0,10,10
n292,0,1,5,0,7,8,2,7,10,10
n291,0,1,5,0,7,8,2,7,10,10
n300,0,1,5,0,7,8,2,1,10,10
n299,0,1,5,0,7,8,2,1,10,10
n302,0,1,5,0,7,8,2,0,10,10
n301,0,1,5,0,7,8,2,0,10,10
n306,4,1,5,0,7,8,2,6,10,10
n305,4,1,5,0,7,8,2,6,10,10
n308,4,1,5,0,7,8,2,6,10,10
n307,4,1,5,0,7,8,2,6,10,10
n314,0,1,5,9,7,8,2,0,10,10
n313,3,1,5,9,7,8,2,0,10,10
n316,0,1,5,9,7,8,2,0,10,10
n315,0,1,5,9,7,8,2,0,10,10
n320,0,1,5,0,7,8,2,0,10,10
n319,0,1,5,0,7,8,2,0,10,10
n322,0,1,5,0,7,8,2,7,10,10
n321,0,1,5,0,7,8,2,7,10,10
n332,1,10,5,9,7,0,0,0,5,1
n331,1,10,5,9,7,9,0,0,5,1
n334,1,10,5,9,7,0,0,7,5,1
n333,1,10,5,9,7,0,10,0,5,1
n338,0,10,5,9,7,3,5,7,10,1
n337,0,10,5,9,7,3,0,0,10,1
n340,0,10,5,9,7,0,0,0,10,1
n339,0,10,5,9,7,0,0,0,10,1
n346,2,10,5,9,7,0,4,10,0,0
n345,2,10,5,9,7,0,4,10,0,0
n348,0,10,5,9,7,0,4,10,0,0
n347,0,10,5,9,7,0,4,10,1,0
n352,0,10,5,9,7,0,0,10,0,0
n351,0,10,5,9,7,0,0,10,0,9
n354,0,10,5,9,7,0,0,10,0,6
n353,0,10,5,9,7,0,7,10,0,6
n362,9,0,5,9,7,0,8,4,10,4
n361,9,0,5,9,7,0,8,4,10,0
n364,9,0,5,9,7,0,8,4,0,0
n363,9,0,5,9,7,0,8,4,0,0
n368,9,0,5,9,7,9,8,9,0,0
n367,9,0,5,9,7,9,8,9,0,0
n370,9,1,5,9,7,8,8,0,8,0
n369,9,0,5,9,7,8,8,0,0,0
n376,0,4,5,9,7,10,4,5,0,9
n375,0,4,5,9,7,10,4,5,0,9
n378,0,0,5,9,7,10,0,5,2,9
n377,0,0,5,9,7,10,0,5,2,9
n382,0,0,5,9,7,0,0,8,10,9
n381,0,0,5,9,7,9,0,8,10,9
n384,0,0,5,9,7,0,0,1,10,9
n383,6,0,5,9,7,0,0,0,10,9
n396,3,6,5,0,7,3,8,0,6,0
n395,3,0,5,7,7,3,8,0,6,0
n398,3,0,5,0,7,3,8,2,6,0
n397,3,0,5,3,7,3,8,0,6,0
n402,0,3,5,5,7,0,8,0,6,5
n401,1,3,5,5,7,0,8,0,6,0
n404,0,3,5,0,7,0,8,0,6,0
n403,4,3,5,9,7,0,8,0,6,0
n410,4,9,5,1,7,0,8,0,6,0
n409,4,9,5,1,7,0,8,0,6,0
n412,4,9,5,1,7,0,8,0,6,7
n411,4,9,5,1,7,0,8,0,6,7
n416,4,3,5,1,7,1,8,0,6,0
n415,0,3,5,1,7,1,8,10,6,0
n418,0,3,5,1,7,8,8,0,6,0
n417,0,3,5,1,7,0,8,0,6,0
n426,1,0,5,4,7,9,8,9,6,0
n425,0,0,5,4,7,0,8,9,6,0
n428,0,0,5,4,7,0,8,0,6,0
n427,0,0,5,4,7,0,8,0,6,2
n432,4,7,5,1,7,0,8,0,6,0
n431,4,7,5,1,7,0,8,0,6,0
n434,4,0,5,0,7,0,8,0,6,1
n433,4,0,5,0,7,0,8,0,6,1
n440,0,0,5,3,7,0,8,1,6,1
n439,8,0,5,0,7,0,8,1,6,1
n442,0,0,5,0,7,0,8,1,6,1
n441,0,1,5,0,7,0,8,1,6,1
n446,4,0,5,0,7,1,8,0,6,1
n445,0,8,5,0,7,0,8,0,6,1
