cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
n16,0,9,9,7,0,5,0,5,3,3,8,1,6,7,2,7,1,7,0,8,3,10,7,5,3,8,8,10,4,3
n15,0,9,9,7,0,5,0,5,3,3,8,1,6,7,2,7,1,7,0,8,3,10,7,5,3,8,8,10,4,3
n18,3,9,9,7,7,5,5,5,3,3,8,1,6,7,2,7,1,7,5,8,3,10,7,5,3,8,8,10,4,3
n17,3,9,9,7,7,5,0,5,3,3,8,1,6,7,2,7,1,7,5,8,3,10,7,5,3,8,8,10,4,3
n22,0,9,9,7,6,5,7,5,3,3,8,1,6,7,2,7,1,7,1,8,3,10,7,5,3,8,8,10,4,3
n21,0,9,9,7,6,5,7,5,3,3,8,1,6,7,2,7,1,7,1,8,3,10,7,5,3,8,8,10,4,3
n24,0,9,9,7,6,5,0,5,3,3,8,1,6,7,2,7,1,7,1,8,3,10,7,5,3,8,8,10,4,3
n23,0,9,9,7,6,5,0,5,3,3,8,1,6,7,2,7,1,7,1,8,3,10,7,5,3,8,8,10,4,3
n30,0,9,9,7,5,5,0,5,3,3,8,1,6,7,2,7,0,7,5,8,3,10,7,5,3,8,4,10,4,6
n29,0,9,9,7,5,5,8,5,3,3,8,1,6,7,2,7,0,7,5,8,3,10,7,5,3,8,4,10,4,6
n32,0,9,9,7,5,5,2,5,3,3,8,1,6,7,2,7,0,7,5,8,3,10,7,5,3,8,4,10,4,6
n31,0,9,9,7,5,5,6,5,3,3,8,1,6,7,2,7,0,7,5,8,3,10,7,5,3,8,4,10,4,6
n36,0,9,9,7,7,5,10,5,3,3,8,1,6,7,2,7,0,7,5,8,3,10,7,5,3,8,4,10,4,0
n35,0,9,9,7,7,5,0,5,3,3,8,1,6,7,2,7,0,7,5,8,3,10,7,5,3,8,4,10,4,0
n38,0,9,9,7,7,5,4,5,3,3,8,1,6,7,2,7,0,7,5,8,3,10,7,5,3,8,4,10,4,6
n37,0,9,9,7,7,5,4,5,3,3,8,1,6,7,2,7,0,7,5,8,3,10,7,5,3,8,4,10,4,0
n46,0,9,9,7,10,5,7,5,3,3,8,7,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,5,0
n45,0,9,9,7,10,5,7,5,3,3,8,7,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,0
n48,0,9,9,7,9,5,7,5,3,3,8,7,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,0
n47,9,9,9,7,0,5,7,5,3,3,8,7,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,0
n52,3,9,9,7,8,5,7,5,3,3,8,7,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,3
n51,0,9,9,7,8,5,7,5,3,3,8,7,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,3
n54,0,9,9,7,4,5,7,5,3,3,8,7,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,3
n53,0,9,9,7,4,5,7,5,3,3,8,7,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,3
n60,0,9,9,7,4,5,0,5,3,3,8,0,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,1,9
n59,0,9,9,7,4,5,0,5,3,3,8,0,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,9
n62,0,9,9,7,4,5,2,5,3,3,8,0,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,0
n61,0,9,9,7,4,5,0,5,3,3,8,0,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,0,0
n66,0,9,9,7,7,5,0,5,3,3,8,0,6,7,2,7,2,7,10,8,3,10,7,5,3,8,9,10,0,0
n65,0,9,9,7,2,5,3,5,3,3,8,0,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,1,0
n68,0,9,9,7,0,5,0,5,3,3,8,7,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,1,0
n67,5,9,9,7,0,5,0,5,3,3,8,0,6,7,2,7,2,7,0,8,3,10,7,5,3,8,9,10,4,0
n78,2,9,9,7,0,5,6,5,3,3,8,5,6,7,2,7,10,7,0,8,3,10,9,5,3,8,9,10,8,7
n77,2,9,9,7,0,5,6,5,3,3,8,5,6,7,2,7,10,7,0,8,3,10,9,5,3,8,9,10,8,7
n80,2,9,9,7,0,5,0,5,3,3,8,5,6,7,2,7,10,7,2,8,3,10,9,5,3,8,9,10,8,7
n79,2,9,9,7,0,5,0,5,3,3,8,5,6,7,2,7,10,7,0,8,3,10,9,5,3,8,9,10,8,7
n84,2,9,9,7,0,5,0,5,3,3,8,5,6,7,2,7,4,7,0,8,3,10,9,5,3,8,9,10,0,0
n83,2,9,9,7,0,5,0,5,3,3,8,5,6,7,2,7,4,7,5,8,3,10,9,5,3,8,9,10,4,0
n86,2,9,9,7,0,5,10,5,3,3,8,5,6,7,2,7,4,7,1,8,3,10,9,5,3,8,9,10,0,0
n85,2,9,9,7,0,5,10,5,3,3,8,5,6,7,2,7,4,7,1,8,3,10,9,5,3,8,9,10,0,0
