cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50
n16,9,9,9,4,2,3,9,6,0,9,2,2,6,1,4,0,10,1,9,5,2,9,2,1,6,5,8,5,5,8,7,7,6,0,7,2,0,4,2,9,1,1,0,9,4,6,5,9,8,2
n15,9,0,9,4,2,0,9,6,0,9,2,2,0,1,4,0,10,1,9,5,2,9,2,1,6,5,8,5,5,8,7,7,6,10,7,2,0,4,2,9,1,1,0,9,0,6,5,9,8,2
n18,9,0,9,4,2,0,9,6,0,9,2,2,0,1,4,0,10,1,9,5,2,9,2,1,6,5,8,5,5,8,7,7,0,1,7,2,4,4,2,9,1,0,8,9,2,6,5,9,8,2
n17,9,0,9,4,2,0,9,6,4,9,2,2,0,1,4,0,10,1,9,5,2,9,2,1,6,5,8,5,5,8,7,7,6,0,7,2,4,4,2,9,1,3,8,9,2,6,5,9,8,2
n22,9,8,9,4,2,0,9,6,0,9,2,2,1,1,4,7,10,1,9,5,2,9,2,1,6,5,8,5,5,8,7,7,0,2,7,2,8,4,2,9,1,9,0,9,0,4,5,9,8,2
n21,9,8,9,4,2,0,9,6,0,9,2,2,0,1,4,7,10,1,9,5,2,9,2,1,6,5,8,5,5,8,7,7,7,2,7,2,0,4,2,9,1,9,0,9,0,4,5,9,8,2
n24,9,8,9,4,2,8,9,6,0,9,2,2,0,1,4,0,10,1,9,5,2,9,2,1,6,5,8,5,5,8,7,7,5,2,7,2,0,4,2,9,1,3,4,9,6,4,5,9,8,2
n23,9,8,9,4,2,8,9,6,0,9,2,2,0,1,4,0,10,1,9,5,2,9,2,1,6,5,8,5,5,8,7,7,3,2,7,2,0,4,2,9,1,3,4,9,0,4,5,9,8,2
n30,9,0,9,4,2,10,9,6,10,9,2,2,0,1,4,10,10,1,9,5,2,9,2,1,6,5,3,5,5,8,0,7,4,0,0,2,5,4,2,9,1,10,4,9,0,8,5,9,6,2
n29,9,1,9,4,2,10,9,6,10,9,2,2,0,1,4,0,10,1,9,5,2,9,2,1,6,5,3,5,5,8,1,7,0,5,0,2,5,4,2,9,1,10,0,9,0,8,5,9,6,2
n32,9,0,9,4,2,10,9,6,10,9,2,2,0,1,4,0,10,1,9,5,2,9,2,1,6,5,7,5,5,8,0,7,4,0,0,2,0,4,2,9,1,0,0,9,0,0,5,9,0,2
n31,9,0,9,4,2,10,9,6,10,9,2,2,0,1,4,0,10,1,9,5,2,9,2,1,6,5,0,5,5,8,0,7,4,0,0,2,4,4,2,9,1,0,0,9,0,0,5,9,10,2
n36,9,0,9,4,2,0,9,6,10,9,2,2,0,1,4,8,10,1,9,5,2,9,2,1,6,5,3,5,5,8,0,7,0,3,9,2,0,4,2,9,1,0,7,9,0,8,5,9,0,2
n35,9,9,9,4,2,0,9,6,10,9,2,2,0,1,4,8,10,1,9,5,2,9,2,1,6,5,3,5,5,8,2,7,0,3,0,2,8,4,2,9,1,0,7,9,1,8,5,9,0,2
n38,9,4,9,4,2,10,9,6,10,9,2,2,0,1,4,8,10,1,9,5,2,9,2,1,6,5,0,5,5,8,0,7,0,3,2,2,0,4,2,9,1,8,7,9,0,8,5,9,0,2
n37,9,4,9,4,2,0,9,6,10,9,2,2,0,1,4,8,10,1,9,5,2,9,2,1,6,5,0,5,5,8,0,7,0,3,0,2,0,4,2,9,1,8,7,9,0,8,5,9,3,2
n46,0,5,9,4,2,0,9,6,9,9,2,2,0,1,4,2,10,1,2,5,2,9,2,1,7,5,4,5,5,1,5,7,0,0,4,2,1,4,2,9,0,0,6,9,0,7,5,2,0,2
n45,6,5,9,4,2,0,9,6,9,9,2,2,0,1,4,2,10,1,2,5,2,9,2,1,7,5,4,5,5,10,5,7,0,0,4,2,1,4,2,9,0,0,6,9,0,0,5,2,0,2
n48,1,5,9,4,2,0,9,6,9,9,2,2,8,1,4,2,10,1,2,5,2,9,2,1,7,5,4,5,5,0,5,7,0,0,4,2,1,4,2,9,8,3,0,9,0,0,5,0,2,2
n47,1,5,9,4,2,0,9,6,9,9,2,2,8,1,4,2,10,1,2,5,2,9,2,1,7,5,4,5,5,0,5,7,0,0,4,2,1,4,2,9,8,4,0,9,0,3,5,0,0,2
n52,4,5,9,4,2,0,9,6,9,9,2,2,6,1,4,2,10,1,2,5,2,9,2,1,7,5,4,5,5,1,5,7,4,0,4,2,1,4,2,9,2,0,0,9,0,5,5,0,0,2
n51,4,5,9,4,2,0,9,6,9,9,2,2,3,1,4,2,10,1,2,5,2,9,2,1,7,5,4,5,5,1,5,7,4,0,4,2,1,4,2,9,0,0,9,9,0,5,5,0,5,2
n54,4,5,9,4,2,0,9,6,9,9,2,2,9,1,4,2,10,1,2,5,2,9,2,1,7,5,4,5,5,1,5,7,0,0,4,2,1,4,2,9,9,0,10,9,0,0,5,0,0,2
n53,4,5,9,4,2,0,9,6,9,9,2,2,0,1,4,2,10,1,2,5,2,9,2,1,7,5,4,5,5,1,5,7,0,0,4,2,1,4,2,9,9,0,10,9,0,0,5,0,0,2
n60,8,0,9,4,2,1,9,6,0,9,2,2,9,1,4,2,10,1,2,5,2,9,2,1,7,5,0,5,5,9,5,7,6,10,0,2,3,4,2,9,0,9,10,9,0,0,5,6,7,2
n59,0,7,9,4,2,1,9,6,0,9,2,2,9,1,4,2,10,1,2,5,2,9,2,1,7,5,0,5,5,9,5,7,6,10,0,2,0,4,2,9,10,9,10,9,0,0,5,0,7,2
n62,0,6,9,4,2,1,9,6,1,9,2,2,9,1,4,2,10,1,2,5,2,9,2,1,7,5,4,5,5,3,5,7,6,7,0,2,0,4,2,9,2,9,10,9,0,6,5,0,7,2
n61,0,6,9,4,2,1,9,6,0,9,2,2,9,1,4,2,10,1,2,5,2,9,2,1,7,5,3,5,5,9,5,7,6,0,0,2,0,4,2,9,2,9,7,9,0,6,5,0,7,2
n66,0,9,9,4,2,0,9,6,0,9,2,2,9,1,4,2,10,1,2,5,2,9,2,1,7,5,9,5,5,0,5,7,6,0,0,2,0,4,2,9,0,0,5,9,10,0,5,1,0,2
n65,0,0,9,4,2,0,9,6,0,9,2,2,9,1,4,2,10,1,2,5,2,9,2,1,7,5,9,5,5,6,5,7,6,0,0,2,0,4,2,9,0,0,7,9,0,4,5,0,1,2
n68,0,0,9,4,2,6,9,6,0,9,2,2,9,1,4,2,10,1,2,5,2,9,2,1,7,5,9,5,5,5,5,7,6,9,4,2,0,4,2,9,0,0,0,9,5,0,5,9,0,2
