cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,8,2,1,1,7,8,7,7,0,0
n15,8,2,1,1,7,8,7,7,0,0
n18,8,2,1,1,7,8,7,0,0,0
n17,8,2,1,1,7,8,7,0,0,5
n22,8,3,1,1,7,8,7,7,2,0
n21,8,3,1,1,7,8,7,0,2,0
n24,8,3,1,1,7,8,7,0,2,0
n23,8,3,1,1,7,8,7,0,2,0
n30,8,9,1,1,7,8,7,2,3,0
n29,8,9,1,1,7,8,7,2,3,5
n32,8,9,1,1,7,8,7,2,2,1
n31,8,9,1,1,7,8,7,2,2,0
n36,8,9,1,1,7,8,7,0,0,0
n35,8,9,1,1,7,8,7,0,3,0
n38,8,9,1,1,7,8,7,0,0,0
n37,8,9,1,1,7,8,7,0,0,0
n46,0,0,1,1,7,8,7,2,6,0
n45,0,0,1,1,7,8,7,2,6,0
n48,0,0,1,1,7,8,7,2,6,0
n47,0,1,1,1,7,8,7,2,6,0
n52,0,10,1,1,7,8,7,8,6,8
n51,0,10,1,1,7,8,7,0,6,8
n54,0,10,1,1,7,8,7,0,6,0
n53,0,10,1,1,7,8,7,0,6,0
n60,10,2,1,1,7,8,7,1,0,2
n59,10,2,1,1,7,8,7,0,0,0
n62,10,2,1,1,7,8,7,4,0,0
n61,10,2,1,1,7,8,7,0,0,0
n66,0,2,1,1,7,8,7,7,5,2
n65,0,2,1,1,7,8,7,7,5,2
n68,10,2,1,1,7,8,7,0,5,2
n67,10,2,1,1,7,8,7,10,5,2
n78,10,0,1,1,4,8,7,6,8,6
n77,10,0,1,1,4,8,7,6,8,6
n80,0,0,1,1,4,8,7,6,8,6
n79,0,0,1,1,4,8,7,6,8,6
n84,9,0,1,1,4,8,7,6,8,6
n83,9,0,1,1,4,8,7,6,8,6
n86,4,0,1,1,4,8,7,6,8,6
n85,4,0,1,1,4,8,7,6,8,6
n92,9,0,1,1,4,8,7,8,7,6
n91,9,0,1,1,4,8,7,8,7,6
n94,9,0,1,1,4,8,7,8,7,6
n93,9,0,1,1,4,8,7,8,7,6
n98,6,0,1,1,4,8,7,4,7,6
n97,0,0,1,1,4,8,7,0,7,6
n100,0,0,1,1,4,8,7,0,7,6
n99,0,0,1,1,4,8,7,0,7,6
n108,0,5,1,1,4,8,7,8,8,6
n107,5,5,1,1,4,8,7,8,8,6
n110,0,5,1,1,4,8,7,0,8,6
n109,0,5,1,1,4,8,7,0,8,6
n114,0,5,1,1,4,8,7,1,8,6
n113,0,5,1,1,4,8,7,1,8,6
n116,7,5,1,1,4,8,7,1,8,6
n115,7,5,1,1,4,8,7,1,8,6
n122,9,5,1,1,4,8,7,7,0,6
n121,9,5,1,1,4,8,7,7,0,6
n124,9,5,1,1,4,8,7,7,0,6
n123,9,5,1,1,4,8,7,7,0,6
n128,9,5,1,1,4,8,7,0,0,6
n127,9,5,1,1,4,8,7,0,0,6
n130,9,5,1,1,4,8,7,0,0,6
n129,9,5,1,1,4,8,7,3,0,6
n142,1,6,1,4,8,8,0,2,4,0
n141,1,6,1,4,8,8,0,2,4,0
n144,1,6,1,4,8,8,1,2,4,8
n143,1,6,1,4,8,8,0,2,4,8
n148,1,6,1,4,8,8,0,0,4,10
n147,1,6,1,4,8,8,0,0,4,10
n150,1,6,1,4,8,8,0,5,4,0
n149,1,6,1,4,8,8,0,5,4,0
n156,1,6,1,4,0,8,2,0,4,10
n155,1,6,1,4,0,8,2,0,4,10
n158,1,6,1,4,0,8,2,0,4,0
n157,1,6,1,4,0,8,2,0,4,0
n162,1,6,1,4,7,8,2,0,4,0
n161,1,6,1,4,7,8,2,0,4,0
n164,1,6,1,4,0,8,2,0,4,0
n163,1,6,1,4,0,8,2,0,4,0
n172,1,6,1,4,6,8,3,5,4,4
n171,1,6,1,4,6,8,3,5,4,0
n174,1,6,1,4,6,8,3,5,4,0
n173,1,6,1,4,6,8,3,5,4,3
n178,1,6,1,4,4,8,6,5,4,7
n177,1,6,1,4,0,8,0,5,4,0
n180,1,6,1,4,3,8,0,5,4,6
n179,1,6,1,4,3,8,0,5,4,6
n186,1,6,1,4,3,8,4,5,4,0
n185,1,6,1,4,3,8,3,5,4,0
n188,1,6,1,4,3,8,9,5,4,0
n187,1,6,1,4,3,8,9,5,4,0
n192,1,6,1,4,3,8,8,5,4,0
n191,1,6,1,4,3,8,8,5,4,0
n194,1,6,1,4,3,8,0,5,4,0
n193,1,6,1,4,3,8,0,5,4,0
n204,2,6,1,0,7,8,9,0,2,3
n203,2,6,1,8,0,8,9,0,2,3
n206,0,6,1,7,8,8,9,5,2,3
n205,4,6,1,0,0,8,9,0,2,3
