cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
n16,1,9,9,4,1,9,0,2,9,0,9,8,4,6,4,10,5,0,2,4,9,6,8,10,6,5,2,5,4,6
n15,1,9,9,4,1,9,6,2,9,0,9,8,4,6,4,10,5,0,2,4,9,6,8,10,6,5,0,5,4,6
n18,1,9,9,4,1,9,0,2,9,3,9,8,4,6,4,10,5,0,2,4,9,6,8,10,6,5,0,5,4,6
n17,1,9,9,4,1,9,10,2,9,3,9,8,4,6,4,10,5,2,2,4,9,6,8,10,6,5,0,5,4,6
n22,1,9,9,4,1,9,3,1,9,1,9,8,4,6,4,10,5,5,2,4,9,6,8,0,6,5,5,5,4,6
n21,1,9,9,4,1,9,3,1,9,1,9,8,4,6,4,10,5,5,2,4,9,6,8,0,6,5,0,5,4,6
n24,1,9,9,4,1,9,10,1,9,1,9,8,4,6,4,10,5,5,2,4,9,6,8,0,6,5,8,5,4,6
n23,1,9,9,4,1,9,10,1,9,1,9,8,4,6,4,10,5,5,2,4,9,6,8,0,6,5,8,5,4,6
n30,1,9,9,4,1,9,4,1,9,0,9,10,4,6,0,10,5,2,2,4,9,6,0,4,6,5,0,5,4,6
n29,1,9,9,4,1,9,4,0,9,0,9,10,4,6,0,10,5,2,2,4,9,6,9,4,6,5,0,5,4,6
n32,1,9,9,4,1,9,4,6,9,3,9,10,4,6,8,10,5,0,2,4,9,6,2,4,6,5,8,5,4,6
n31,1,9,9,4,1,9,4,0,9,0,9,10,4,6,8,10,5,0,2,4,9,6,2,4,6,5,0,5,4,6
n36,1,9,9,4,1,9,4,0,9,4,9,10,4,6,6,10,5,0,2,4,9,6,1,4,6,5,0,5,4,6
n35,1,9,9,4,1,9,4,0,9,4,9,10,4,6,6,10,5,0,2,4,9,6,0,4,6,5,0,5,4,6
n38,1,9,9,4,1,9,4,2,9,4,9,10,4,6,6,10,5,0,2,4,9,6,0,4,6,5,9,5,4,6
n37,1,9,9,4,1,9,4,1,9,4,9,10,4,6,6,10,5,0,2,4,9,6,0,4,6,5,0,5,4,6
n46,1,9,9,4,1,9,3,10,0,1,0,0,4,9,0,10,5,7,2,4,5,6,0,0,6,5,0,5,0,6
n45,1,9,9,4,1,9,3,10,0,1,0,4,4,9,2,10,5,7,2,4,5,6,0,0,6,5,0,5,0,6
n48,1,9,9,4,1,9,3,10,0,1,5,6,4,9,0,10,5,7,2,4,5,6,0,0,6,5,0,5,4,6
n47,1,9,9,4,1,9,3,10,0,1,5,6,4,9,0,10,5,7,2,4,5,6,6,0,6,5,0,5,4,6
n52,1,9,9,4,1,9,3,10,6,1,0,3,4,9,6,10,5,7,2,4,5,6,0,8,6,5,0,5,3,6
n51,1,9,9,4,1,9,3,10,6,1,0,3,4,9,6,10,5,7,2,4,5,6,0,0,6,5,0,5,3,6
n54,1,9,9,4,1,9,3,10,6,1,2,3,4,9,6,10,5,7,2,4,5,6,0,0,6,5,0,5,0,6
