cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,0,10,2,1,7,7,3,5,10,1
n15,0,10,2,1,0,7,3,5,10,1
n18,4,10,2,1,0,7,3,5,10,1
n17,8,10,2,1,0,7,3,5,10,1
n22,0,0,0,1,4,7,3,5,10,10
n21,6,0,0,1,4,7,3,5,10,0
n24,0,0,0,1,8,7,3,5,10,8
n23,0,0,0,1,0,7,3,5,10,8
n30,0,6,0,1,0,7,3,5,10,5
n29,0,6,4,1,0,7,3,5,10,5
n32,7,6,7,1,0,7,3,5,10,5
n31,7,6,7,1,7,7,3,5,10,5
n36,3,0,0,1,0,7,3,5,10,0
n35,3,0,0,1,0,7,3,5,10,0
n38,3,2,2,1,0,7,3,5,10,0
n37,3,0,2,1,0,7,3,5,10,7
n46,0,5,4,0,6,7,3,5,10,0
n45,0,5,4,0,6,7,3,5,10,0
n48,0,5,4,8,6,7,3,5,10,0
n47,0,5,4,0,6,7,3,5,10,4
n52,8,0,4,0,6,7,3,5,10,0
n51,8,0,4,0,6,7,3,5,10,0
n54,8,7,4,8,6,7,3,5,10,7
n53,8,0,4,0,6,7,3,5,10,1
n60,4,0,4,2,6,7,3,5,10,0
n59,4,4,4,2,6,7,3,5,10,0
n62,4,0,4,3,6,7,3,5,10,0
n61,4,0,4,3,6,7,3,5,10,0
n66,0,4,4,4,6,7,3,5,10,0
n65,0,0,4,4,6,7,3,5,10,2
n68,0,0,4,4,6,7,3,5,10,6
n67,0,0,4,4,6,7,3,5,10,0
n78,5,9,0,0,0,7,5,5,0,0
n77,5,2,0,0,0,7,5,5,0,0
n80,5,2,0,0,0,7,5,5,0,0
n79,5,2,0,0,0,7,5,5,0,9
n84,5,6,0,9,0,7,5,5,0,5
n83,5,0,0,9,0,7,5,5,0,5
n86,5,6,0,9,0,7,5,5,0,8
n85,5,0,0,9,0,7,5,5,0,8
n92,5,5,3,0,0,7,5,5,6,7
n91,5,5,3,0,0,7,5,5,6,7
n94,5,5,3,0,0,7,5,5,0,0
n93,5,5,3,0,0,7,5,5,0,0
n98,5,5,3,0,0,7,5,5,0,8
n97,5,5,3,3,0,7,5,5,0,8
n100,5,5,3,2,0,7,5,5,0,0
n99,5,5,3,9,0,7,5,5,0,0
n108,0,9,8,0,0,7,5,5,2,0
n107,0,9,8,0,0,7,5,5,2,0
n110,0,9,8,2,0,7,5,5,2,0
n109,0,9,8,0,0,7,5,5,2,0
n114,1,9,8,7,0,7,5,5,0,0
n113,1,9,8,7,0,7,5,5,0,0
n116,0,9,8,7,2,7,5,5,2,3
n115,0,9,8,7,0,7,5,5,2,3
n122,0,9,10,0,0,7,5,5,0,0
n121,0,9,10,0,3,7,5,5,0,0
n124,0,9,10,0,6,7,5,5,0,0
n123,0,9,10,0,0,7,5,5,0,0
n128,0,9,0,10,8,7,5,5,10,7
n127,0,9,0,10,0,7,5,5,10,7
n130,0,9,0,10,5,7,5,5,10,6
n129,0,9,4,10,0,7,5,5,10,0
n142,8,6,8,0,6,7,0,5,1,3
n141,8,6,8,0,6,7,0,5,1,0
n144,8,6,8,0,6,7,0,5,1,0
n143,8,6,8,10,6,7,0,5,1,0
n148,8,0,8,0,6,7,0,5,1,7
n147,8,0,8,0,6,7,0,5,1,7
n150,8,0,8,0,6,7,4,5,1,7
n149,8,3,8,0,6,7,4,5,1,7
n156,8,0,8,10,6,7,0,5,1,2
n155,8,0,8,10,6,7,9,5,1,0
n158,8,2,8,10,6,7,0,5,1,0
n157,8,2,8,10,6,7,9,5,1,0
n162,8,2,8,10,6,7,10,5,1,6
n161,8,2,8,10,6,7,10,5,1,6
n164,8,2,8,10,6,7,3,5,1,10
n163,8,2,8,10,6,7,3,5,1,0
n172,8,0,8,7,6,7,0,5,7,8
n171,8,0,8,7,6,7,1,5,10,8
n174,8,7,8,10,6,7,6,5,0,8
n173,8,0,8,10,6,7,6,5,0,8
n178,8,0,8,0,6,7,5,5,0,8
n177,8,0,8,0,6,7,5,5,0,8
n180,8,0,8,0,6,7,0,5,0,8
n179,8,0,8,0,6,7,0,5,5,8
n186,8,0,8,4,6,7,8,5,0,8
n185,8,0,8,4,6,7,0,5,0,8
n188,8,0,8,0,6,7,0,5,0,8
n187,8,0,8,0,6,7,0,5,0,8
n192,8,4,8,0,6,7,1,5,6,8
n191,8,4,8,0,6,7,1,5,6,8
n194,8,0,8,0,6,7,0,5,0,8
n193,8,0,8,0,6,7,0,5,0,8
n204,8,3,10,0,6,7,5,5,9,0
n203,8,3,10,0,6,7,5,5,9,0
n206,8,8,0,0,6,7,5,5,9,0
n205,8,8,0,0,6,7,5,5,9,0
n210,8,3,0,0,6,7,5,5,9,0
n209,8,3,0,8,6,7,5,5,9,0
n212,8,3,2,6,6,7,5,5,9,0
n211,8,3,0,0,6,7,5,5,9,0
n218,8,0,0,0,6,7,5,5,9,0
n217,8,0,0,0,6,7,5,5,9,4
n220,8,0,9,0,6,7,5,5,9,9
n219,8,0,9,0,6,7,5,5,9,9
n224,8,0,0,1,6,7,5,5,9,6
n223,8,0,0,1,6,7,5,5,9,0
n226,8,0,0,1,6,7,5,5,9,0
n225,8,0,0,1,6,7,5,5,9,0
n234,8,5,0,8,6,7,5,5,8,10
n233,8,5,0,8,6,7,5,5,8,10
n236,8,0,4,8,6,7,5,5,8,10
n235,8,0,0,8,6,7,5,5,8,10
n240,8,0,10,8,6,7,5,5,8,10
n239,8,0,10,8,6,7,5,5,8,10
n242,8,0,0,8,6,7,5,5,8,10
n241,8,0,0,8,6,7,5,5,8,10
n248,8,3,1,8,6,7,5,5,0,0
n247,8,3,1,8,6,7,5,5,0,0
n250,8,3,1,8,6,7,5,5,0,6
n249,8,3,1,8,6,7,5,5,0,0
n254,8,3,1,4,6,7,5,5,0,8
n253,8,3,1,4,6,7,5,5,2,8
n256,8,3,1,0,6,7,5,5,1,8
n255,8,3,1,0,6,7,5,5,1,8
n270,8,9,0,0,5,5,9,5,7,0
n269,8,9,0,0,5,5,9,5,7,0
n272,8,9,0,4,5,5,9,5,0,0
n271,8,9,7,0,5,5,9,5,0,0
n276,8,9,0,0,5,5,9,5,0,0
n275,8,9,0,0,5,5,9,5,0,10
n278,8,9,0,0,5,5,9,5,8,3
n277,8,9,0,0,5,5,9,5,0,3
n284,5,9,10,1,0,5,0,5,0,0
n283,5,9,10,1,3,5,0,5,0,0
n286,0,9,6,1,1,5,0,5,0,6
n285,9,9,0,1,1,5,0,5,0,0
n290,0,9,0,1,0,5,0,5,0,1
n289,6,9,3,1,0,5,0,5,0,0
n292,2,9,0,1,0,5,0,5,8,7
n291,0,9,5,1,7,5,0,5,8,7
n300,3,9,5,8,0,5,5,5,7,1
n299,3,9,5,8,0,5,5,5,7,1
n302,0,9,5,8,9,5,0,5,7,1
n301,6,9,5,8,0,5,0,5,7,1
n306,10,9,2,8,0,5,0,5,7,1
n305,10,9,2,8,0,5,0,5,7,1
n308,0,9,2,8,0,5,0,5,7,1
n307,0,9,2,8,4,5,0,5,7,1
n314,0,9,7,8,0,5,0,5,0,0
n313,0,9,7,8,0,5,0,5,0,0
n316,0,9,7,8,7,5,0,5,1,10
n315,0,9,7,8,4,5,2,5,0,10
n320,0,9,7,8,0,5,0,5,10,4
n319,0,9,7,8,0,5,0,5,10,4
n322,0,9,7,8,7,5,10,5,10,2
n321,0,9,7,8,7,5,10,5,10,2
n332,3,9,4,0,5,0,9,5,0,2
n331,0,9,4,0,5,0,0,5,6,2
n334,4,9,4,0,5,0,0,5,0,2
n333,4,9,4,0,5,0,0,5,0,2
n338,3,9,4,0,5,0,3,5,3,2
n337,3,9,4,0,5,0,0,5,3,2
n340,0,9,4,0,5,0,5,5,5,2
n339,0,9,4,0,5,0,5,5,0,2
n346,6,9,0,6,5,9,9,5,0,2
n345,6,9,5,6,5,9,0,5,0,2
n348,6,9,7,6,5,9,3,5,0,2
n347,6,9,7,6,5,9,0,5,0,2
n352,6,9,0,0,5,9,0,5,0,2
n351,6,9,0,0,5,9,0,5,0,2
n354,6,9,0,7,5,9,0,5,0,2
n353,6,9,0,7,5,9,6,5,0,2
n362,0,9,0,8,5,5,0,5,0,2
n361,0,9,0,8,5,1,0,5,0,2
n364,0,9,7,8,5,0,0,5,0,2
