(((((((64:2.023,65:3.023)I63:1.99,(70:0.031,71:1.031)I62:2.982)I61:1.019,((124:1,125:0)I60:0.011,(100:1.015,101:2.015)I59:2.996)I58:1.021)I57:3.043,(((74:1.009,75:1.009)I56:1.006,(94:0.013,95:2.013)I55:3.002)I54:1.01,((88:1,89:1)I53:0.032,(82:1.028,83:3.028)I52:4.004)I51:2.992)I50:2.051)I49:4.994,((((120:0.005,121:0.005)I48:2.007,(90:1.013,91:0.013)I47:1.998)I46:1.026,((112:1,113:0)I45:0.014,(108:1.004,109:1.004)I44:1.01)I43:1.023)I42:3.02,(((116:0,117:0)I41:0,(104:2,105:1)I40:0)I39:0.012,((126:0.001,127:2.001)I38:1.028,(122:1.006,123:0.006)I37:3.023)I36:1.983)I35:1.045)I34:5.013)I33:5.986,(((((102:1.013,103:3.013)I32:3.026,(118:1.002,119:0.002)I31:1.037)I30:2.994,((110:1.003,111:0.003)I29:1.044,(98:0.008,99:2.008)I28:2.039)I27:2.986)I26:3.014,(((96:1.021,97:2.021)I25:5.018,(106:0.004,107:1.004)I24:1.036)I23:2.982,((72:4.017,73:3.017)I22:2.021,(68:0.043,69:1.043)I21:3.995)I20:2.983)I19:2.026)I18:2.966,((((84:0.021,85:4.021)I17:2.988,(80:1.015,81:1.015)I16:1.994)I15:1.023,((76:2.007,77:1.007)I14:1.023,(78:2.007,79:0.007)I13:1.024)I12:2.001)I11:2.05,(((86:0.007,87:0.007)I10:1.031,(114:2.003,115:0.003)I9:1.035)I8:3.041,((66:1,67:2)I7:0.001,(92:1.005,93:1.005)I6:0.996)I5:0.078)I4:6.003)I3:7.932)I2:1.041)I1:3.945)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,0,0:0.01/6:0.99,0:0.01/7:0.99,0,0,0,0,0,0,0,0,0,0,0,0,0:0.01/2:0.99,0,0,0,0,0,0:0.01/6:0.99,0,0,0,0,0,0,0,0
I2,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0:0.01/9:0.99,0
I3,0,6,7,0,0,0,0,0:0.01/10:0.99,0,0:0.01/4:0.99,0:0.01/9:0.99,0:0.01/8:0.99,0:0.01/1:0.99,0:0.01/6:0.99,0,2,0,0:0.01/6:0.99,0,0,0:0.01/8:0.99,6,0,0,0,0,0,0,9,0
I4,0,6,7,0,0,0,0:0.01/8:0.99,10,0,4,9,8,1,6,0,2,0,6,0,0,8,6,0:0.01/4:0.99,0:0.01/10:0.99,0:0.01/5:0.99,0:0.01/2:0.99,0:0.01/5:0.99,0,9,0
I5,0,6,7,0,0,0,8,10,0,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,0
I6,0,6,7,0,0,0,8,10,0,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,2,9,0
93,0,6,7,0,0,0,8,10,0,4,9,8,1,6,0,2,1,6,0,0,8,6,4,10,5,2,5,2,9,0
92,0,6,7,0,0,0,8,10,1,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,2,9,0
I7,0,6,7,0,0,0,8,10,0,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,0
67,0,6,7,10,0,0,8,10,0,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,9,9,0
66,0,6,7,0,0,0,8,10,0,4,9,8,1,6,5,2,0,6,0,0,8,6,4,10,5,2,5,0,9,0
I8,0,6,7,0:0.01/10:0.99,0,0,8,10,0:0.01/9:0.99,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,0:0.01/10:0.99
I9,0,6,7,10,1,0,8,10,9,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,10
115,0,6,7,10,1,0,8,10,9,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,10
114,0,6,7,10,1,0,8,10,9,4,9,8,1,6,0,2,10,6,0,5,8,6,4,10,5,2,5,0,9,10
I10,0,6,7,10,0:0.01/8:0.99,0,8,10,9,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,10
87,0,6,7,10,8,0,8,10,9,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,10
86,0,6,7,10,8,0,8,10,9,4,9,8,1,6,0,2,0,6,0,0,8,6,4,10,5,2,5,0,9,10
I11,0,6,7,0,0,0,0:0.02/1:0.98,10,0,4,9,8,1,6,0,2,0,6,0,0:0.02/4:0.98,8,6,0,0,0,0,0,0,9,0
I12,0,6,7,0,0,0:0.01/3:0.99,1,10,0,4,9,8,1,6,0,2,0,6,0,4,8,6,0,0:0.01/8:0.99,0,0,0,0,9,0
I13,0,6,7,0,0,3,1,10,0,4,9,8,1,6,0,2,0,6,0,4,8,6,0,8,0,0,0,0:0.01/4:0.99,9,0
79,0,6,7,0,0,3,1,10,0,4,9,8,1,6,0,2,0,6,0,4,8,6,0,8,0,0,0,4,9,0
78,0,6,7,7,5,3,1,10,0,4,9,8,1,6,0,2,0,6,0,4,8,6,0,8,0,0,0,4,9,0
