cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n52,6,9,8,2,6,4,6,3,5,4,6,4,1,7,1,1,8,3,9,9,9,6,5,1,6,3,4,6,7,1,4,8,0,2,10,7,8,5,0,9,7,10,0,4,1,0,8,3,10,2,7,7,1,1,10,9,0,9,0,1,1,1,1,0,5,7,0,9,0,8
n51,6,9,8,2,6,4,6,3,5,4,6,4,1,7,1,1,8,3,9,9,9,6,5,1,6,3,4,6,7,1,4,8,0,2,10,7,8,5,0,9,7,10,0,4,1,6,8,3,10,2,7,7,1,1,10,9,0,9,0,1,1,1,1,5,5,2,0,9,0,8
n54,6,9,8,2,6,4,6,3,5,4,6,4,1,7,1,1,8,3,9,9,9,6,5,1,6,3,4,6,7,1,4,8,0,2,10,7,8,5,0,9,7,10,2,4,1,0,8,3,0,0,7,7,1,0,10,9,0,9,0,1,1,1,1,0,5,0,0,9,0,8
n53,6,9,8,2,6,4,6,3,5,4,6,4,1,7,1,1,8,3,9,9,9,6,5,1,6,3,4,6,7,1,4,8,0,2,10,7,8,5,0,9,7,10,2,4,1,0,8,3,0,6,7,7,1,0,10,9,0,9,0,1,1,1,1,0,5,0,0,9,0,8
n60,6,9,8,2,6,4,6,0,5,4,6,3,1,7,1,1,8,9,9,9,9,6,5,1,6,3,4,6,7,1,4,8,1,0,10,7,0,5,10,9,7,10,10,4,1,0,8,3,0,4,7,7,1,3,10,9,8,5,0,1,1,1,1,0,5,3,2,9,0,8
n59,6,9,8,2,6,4,6,10,5,4,6,3,1,7,1,1,8,0,9,9,9,6,5,1,6,3,4,6,7,1,4,8,1,0,10,7,0,5,10,9,7,10,10,4,1,0,8,3,0,4,7,7,1,3,10,9,8,5,0,1,1,1,1,4,5,0,2,9,0,8
n62,6,9,8,2,6,4,6,0,5,4,6,3,1,7,1,1,8,0,9,9,9,6,5,1,6,3,4,6,7,1,4,8,1,0,10,7,1,5,10,9,7,10,10,4,1,0,8,3,0,4,7,7,1,3,10,9,8,5,4,1,1,1,1,0,5,0,2,9,7,8
n61,6,9,8,2,6,4,6,0,5,4,6,3,1,7,1,1,8,1,9,9,9,6,5,1,6,3,4,6,7,1,4,8,1,0,10,7,1,5,10,9,7,10,10,4,1,0,8,3,1,4,7,7,1,3,10,9,8,5,6,1,1,1,1,0,5,0,2,9,0,8
n66,6,9,8,2,6,4,6,0,5,4,6,3,1,7,1,1,8,0,9,9,9,6,5,1,6,3,4,6,7,1,4,8,1,10,10,7,1,5,0,9,7,10,10,4,1,0,8,3,2,4,7,7,1,3,10,9,8,5,0,1,1,1,1,0,5,2,2,9,10,8
n65,6,9,8,2,6,4,6,0,5,4,6,3,1,7,1,1,8,0,9,9,9,6,5,1,6,3,4,6,7,1,4,8,1,10,10,7,1,5,0,9,7,10,10,4,1,0,8,3,2,4,7,7,1,3,10,9,8,5,8,1,1,1,1,0,5,0,2,9,4,8
n68,6,9,8,2,6,4,6,0,5,4,6,3,1,7,1,1,8,0,9,9,9,6,5,1,6,3,4,6,7,1,4,8,1,0,10,7,1,5,4,9,7,10,10,4,1,0,8,3,0,4,7,7,1,3,10,9,8,5,5,1,1,1,1,0,5,0,2,9,0,8
n67,6,9,8,2,6,4,6,0,5,4,6,3,1,7,1,1,8,0,9,9,9,6,5,1,6,3,4,6,7,1,4,8,1,0,10,7,1,5,4,9,7,10,10,4,1,0,8,3,0,4,7,7,1,3,10,9,8,5,0,1,1,1,1,0,5,0,2,9,0,8
n78,0,7,3,1,6,4,6,3,5,0,6,2,1,8,1,0,8,1,9,0,2,6,7,1,6,3,4,6,7,0,4,0,5,0,0,7,1,5,0,9,7,1,1,4,1,7,8,3,7,3,7,7,1,10,1,10,2,1,8,1,1,1,1,8,5,2,1,8,7,8
n77,8,7,3,1,6,4,6,3,5,0,6,2,1,8,1,0,8,1,9,0,2,6,7,1,6,3,4,6,7,6,4,10,5,0,0,7,1,5,0,9,7,1,1,4,1,7,8,3,7,3,7,7,1,10,1,10,2,1,8,1,1,1,1,8,5,2,1,8,7,8
n80,2,7,3,1,6,4,6,3,5,0,6,2,1,8,1,0,8,1,9,0,2,6,7,1,6,3,4,6,7,0,4,0,5,0,0,7,1,5,0,9,7,1,1,4,1,7,8,3,7,3,7,7,1,10,1,10,2,1,5,1,1,1,1,1,5,2,1,8,7,8
n79,0,7,3,1,6,4,6,3,5,0,6,2,1,8,1,0,8,1,9,3,2,6,7,1,6,3,4,6,7,0,4,0,5,4,0,7,1,5,3,9,7,1,1,4,1,7,8,3,7,3,7,7,1,10,1,10,2,1,5,1,1,1,1,9,5,2,1,8,7,8
n84,0,7,3,1,6,4,6,0,5,0,6,2,1,8,1,3,8,1,9,6,2,6,7,1,6,3,4,6,7,0,4,0,5,6,2,7,1,5,0,9,7,7,1,4,1,7,8,3,7,3,7,7,1,0,1,10,2,1,3,1,1,1,1,0,5,2,1,8,7,8
n83,0,7,3,1,6,4,6,0,5,9,6,2,1,8,1,3,8,1,9,0,2,6,7,1,6,3,4,6,7,0,4,0,5,6,2,7,1,5,0,9,7,7,1,4,1,7,8,3,7,3,7,7,1,0,1,10,2,1,3,1,1,1,1,0,5,2,1,8,7,8
n86,7,7,3,1,6,4,6,0,5,6,6,2,1,8,1,3,8,1,9,0,2,6,7,1,6,3,4,6,7,2,4,1,5,0,2,7,1,5,0,9,7,0,1,4,1,7,8,3,7,3,7,7,1,0,1,10,2,1,3,1,1,1,1,0,5,2,1,8,7,8
