cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,10,0,2,9,0,7,0,0,3,0
n15,10,0,2,9,4,7,0,0,3,3
n18,10,5,2,9,0,7,0,0,3,10
n17,10,5,2,9,0,7,0,0,3,0
n22,10,0,2,9,3,7,0,6,3,6
n21,10,0,2,9,0,7,0,6,3,6
n24,10,0,2,9,0,7,0,0,3,6
n23,10,2,2,9,0,7,0,0,3,6
n30,10,0,2,0,7,7,0,1,3,0
n29,10,0,2,0,7,7,0,1,3,0
n32,10,0,2,0,0,7,0,1,3,0
n31,10,9,2,0,0,7,0,1,3,1
n36,10,0,2,0,0,7,0,1,3,5
n35,10,0,2,0,0,7,0,1,3,5
n38,10,9,2,5,0,7,9,1,3,5
n37,10,0,2,0,0,7,9,1,3,5
n46,10,2,2,8,0,7,0,8,3,10
n45,10,2,2,8,0,7,0,8,3,10
n48,10,2,2,0,0,7,3,8,3,10
n47,10,2,2,0,0,7,0,8,3,10
n52,10,2,2,10,0,7,0,2,3,10
n51,10,2,2,10,0,7,2,2,3,10
n54,10,2,2,7,0,7,10,2,3,10
n53,10,2,2,0,0,7,10,2,3,10
n60,6,2,2,0,0,7,3,0,3,10
n59,6,2,2,0,0,7,3,0,3,10
n62,6,2,2,0,0,7,3,9,3,10
n61,6,2,2,5,0,7,3,0,3,10
n66,10,7,2,0,7,7,3,0,3,10
n65,10,7,2,9,7,7,3,0,3,10
n68,5,0,2,2,7,7,3,5,3,10
n67,3,0,2,2,7,7,3,5,3,10
n78,0,3,6,0,0,7,2,0,3,4
n77,0,3,9,0,5,7,2,0,3,4
n80,0,2,5,0,3,7,0,7,3,4
n79,0,2,0,0,3,7,0,0,3,4
n84,10,0,0,7,0,7,2,0,3,4
n83,10,0,0,7,0,7,2,0,3,4
n86,10,0,0,2,8,7,2,0,3,4
n85,0,0,0,2,8,7,2,0,3,4
n92,2,0,0,4,0,7,0,0,3,4
n91,2,0,0,4,2,7,0,0,3,4
n94,2,0,0,2,7,7,0,0,3,4
n93,2,0,0,5,0,7,1,0,3,4
n98,2,0,0,0,6,7,0,0,3,4
n97,2,0,0,4,6,7,0,0,3,4
n100,2,7,0,0,6,7,0,0,3,4
n99,2,0,0,0,6,7,0,0,3,4
n108,4,4,0,4,7,7,0,3,3,0
n107,0,4,0,4,7,7,0,0,3,0
n110,0,4,0,0,7,7,0,5,3,0
n109,0,4,0,7,7,7,0,5,3,0
n114,0,2,0,9,7,7,0,6,3,2
n113,7,0,0,9,7,7,0,6,3,2
n116,0,0,2,9,7,7,0,0,3,0
n115,0,0,2,9,7,7,0,0,3,0
n122,5,0,0,0,2,7,6,6,3,0
n121,5,0,0,0,2,7,6,6,3,0
n124,0,7,8,0,2,7,0,6,3,10
n123,0,0,0,0,2,7,3,6,3,10
n128,0,3,0,1,0,7,1,6,3,6
n127,9,3,0,1,3,7,1,6,3,6
n130,8,3,0,1,2,7,0,6,3,0
n129,0,3,0,1,0,7,0,6,3,2
n142,6,2,6,3,0,7,3,10,2,1
n141,6,2,6,3,0,7,3,10,2,1
n144,6,2,9,3,0,7,3,10,2,1
n143,6,2,9,3,0,7,3,10,2,1
n148,6,6,9,3,6,7,3,10,2,1
n147,6,10,4,3,6,7,3,10,2,1
n150,6,0,0,3,4,7,3,10,2,1
n149,6,0,0,3,4,7,3,10,2,1
n156,6,0,0,3,9,7,3,10,2,1
n155,6,0,0,3,9,7,3,10,2,1
