,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29
134,0,-1,18,14,20,0,-1,-1,-1,0,13,-1,-1,1,-1,-1,28,-1,19,-1,-1,14,-1,-1,-1,-1,4,-1,0,-1
197,-1,0,-1,0,29,-1,-1,0,0,0,0,0,-1,-1,-1,28,-1,0,26,0,-1,-1,0,0,-1,26,-1,-1,8,14
228,-1,0,-1,0,29,22,-1,0,12,21,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,9,-1,-1,-1,-1,-1,0,-1
230,-1,0,-1,0,29,-1,-1,23,0,0,18,-1,-1,-1,-1,28,-1,0,26,21,-1,-1,0,28,-1,26,-1,-1,-1,14
236,-1,0,-1,0,29,22,-1,-1,0,21,0,0,24,-1,-1,-1,21,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
241,-1,-1,-1,0,29,-1,-1,-1,-1,21,0,21,0,-1,7,-1,21,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
242,0,28,-1,14,18,2,-1,-1,0,0,-1,-1,0,0,9,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,4,-1,8,-1
252,-1,0,-1,0,29,22,-1,0,-1,21,-1,18,0,-1,7,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,0,-1
257,-1,6,-1,28,29,-1,-1,0,0,0,0,-1,-1,-1,-1,28,21,0,-1,0,-1,-1,-1,28,-1,-1,-1,-1,8,14
268,-1,0,-1,0,29,-1,-1,0,0,-1,2,0,-1,-1,-1,28,21,0,26,28,-1,-1,-1,-1,-1,26,-1,-1,0,14
270,-1,0,-1,0,29,22,-1,-1,1,21,9,-1,0,-1,7,-1,21,28,-1,21,-1,-1,-1,0,-1,-1,-1,-1,29,-1
280,-1,0,-1,0,29,22,-1,9,1,21,9,0,0,-1,7,-1,-1,28,-1,21,0,-1,-1,0,-1,-1,-1,-1,29,-1
282,-1,0,-1,-1,29,22,-1,9,1,21,9,0,-1,-1,7,-1,21,28,-1,21,0,-1,-1,0,-1,-1,-1,-1,29,-1
301,-1,0,-1,0,29,-1,-1,0,0,29,2,0,-1,-1,-1,28,21,0,26,0,-1,-1,-1,-1,-1,26,-1,-1,-1,14
305,-1,-1,-1,0,29,-1,-1,-1,14,0,-1,-1,-1,-1,-1,0,21,0,8,0,-1,-1,0,0,-1,-1,-1,-1,0,14
313,-1,14,-1,8,29,22,-1,0,0,21,0,0,0,-1,7,-1,21,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
317,-1,0,-1,0,29,22,-1,0,0,21,-1,0,0,-1,-1,-1,21,28,-1,0,-1,-1,24,13,-1,-1,-1,-1,21,-1
