cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30
281,2,25,0,0,0,0,0,0,0,0,9,-1,0,0,2,0,0,0,0,0,0,0,24,5,-1,-1,25,0,0,0
119,0,-1,0,0,0,0,0,0,0,19,-1,16,24,0,6,0,0,0,0,0,0,-1,24,0,-1,30,25,0,0,0
355,0,0,0,0,17,0,0,0,0,20,0,16,0,0,0,-1,-1,0,0,6,0,0,21,0,15,30,0,28,0,0
354,0,0,0,0,17,0,0,0,0,20,0,16,0,0,0,0,0,0,0,-1,0,0,21,-1,15,30,0,28,0,0
113,13,1,0,-1,0,0,3,0,26,0,0,19,0,11,8,19,-1,0,0,0,0,0,0,11,4,0,17,0,0,-1
304,25,0,0,-1,0,27,0,0,-1,0,0,13,0,-1,29,0,0,0,0,22,0,0,0,12,4,0,0,0,0,25
353,25,0,0,-1,0,0,0,0,23,0,0,13,0,11,29,0,0,0,0,22,0,-1,0,-1,4,0,-1,0,0,25
352,-1,0,0,0,18,0,0,0,23,0,-1,13,0,11,29,0,0,0,0,22,0,0,0,12,4,-1,0,0,0,25
256,25,-1,0,0,0,0,0,0,23,0,0,13,0,11,29,0,0,0,0,22,0,0,0,12,4,0,0,0,-1,25
190,13,0,13,0,0,0,0,0,0,0,-1,13,19,11,29,0,0,0,0,-1,0,0,0,12,4,0,0,17,-1,25
231,13,0,13,-1,0,0,0,0,25,0,0,13,0,11,29,3,0,0,0,-1,0,0,-1,12,-1,16,0,-1,0,25
251,13,0,13,0,0,0,0,0,25,3,-1,13,-1,11,29,0,0,0,0,0,0,0,0,-1,18,16,0,17,-1,25
250,13,0,13,0,0,0,0,-1,25,3,0,13,0,11,29,0,0,0,0,0,0,0,0,13,18,16,0,17,0,25
345,13,0,13,0,-1,0,0,-1,-1,0,0,13,0,11,29,0,0,8,0,0,0,0,0,12,18,16,0,17,0,25
344,13,0,-1,0,0,-1,0,0,25,0,-1,13,0,16,29,0,0,8,-1,0,0,0,0,12,18,16,0,17,0,25
166,13,0,13,26,0,0,0,0,25,0,0,13,0,-1,29,0,0,0,0,0,0,0,0,6,4,-1,0,17,0,25
381,12,0,0,0,0,0,0,0,0,0,0,13,26,11,29,-1,0,22,0,0,0,0,0,12,4,0,0,0,0,0
380,12,0,0,0,0,0,0,0,0,0,0,13,-1,11,29,0,0,22,0,0,0,0,0,12,4,0,0,0,0,0
403,13,29,0,0,23,0,0,0,0,0,0,13,0,11,29,0,0,22,-1,0,0,0,0,12,4,0,0,0,0,0
402,13,-1,0,0,-1,0,0,0,0,0,0,13,0,11,29,0,-1,22,0,0,0,0,-1,-1,4,0,0,0,0,0
398,13,29,-1,0,13,0,0,0,0,0,0,13,0,11,29,0,0,22,0,0,-1,0,0,12,-1,0,0,0,0,0
150,13,0,0,0,13,0,0,-1,0,0,0,13,0,11,29,0,0,0,0,0,0,0,0,-1,4,0,0,0,0,0
269,13,0,0,0,-1,17,-1,0,0,0,0,13,-1,11,29,29,23,0,-1,0,0,0,0,12,4,0,0,0,-1,0
268,13,0,0,0,-1,17,0,0,0,0,0,13,0,11,29,-1,23,0,0,0,0,0,0,12,-1,0,0,0,0,0
247,13,0,-1,2,0,0,-1,0,-1,0,0,6,-1,11,29,0,-1,0,0,0,0,0,0,12,4,0,24,0,0,0
255,13,0,0,2,-1,0,0,0,0,0,0,6,0,11,29,0,0,-1,0,0,0,0,0,12,4,0,0,0,0,0
339,-1,0,0,-1,0,0,-1,0,0,0,0,6,0,11,-1,0,0,0,0,0,0,0,0,-1,4,0,0,0,0,0
338,-1,0,0,2,0,0,0,0,0,0,0,6,0,11,29,0,0,0,-1,0,0,0,0,12,4,0,0,0,0,0
