cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
n16,0,0,6,1,9,7,6,0,8,0
n15,0,8,6,1,9,7,6,0,8,0
n18,0,4,6,1,9,7,6,0,8,0
n17,10,0,6,1,9,7,6,0,8,0
n22,0,0,6,1,9,4,0,0,8,0
n21,0,0,6,1,9,4,0,0,8,4
n24,0,0,6,1,9,4,0,0,8,5
n23,0,5,6,1,9,3,0,0,8,5
n30,3,0,10,1,9,2,4,0,8,0
n29,3,0,10,1,9,2,4,4,8,0
n32,3,0,10,1,9,2,4,0,8,0
n31,3,0,10,1,9,2,4,10,8,0
n36,0,4,10,1,9,0,4,2,8,0
n35,0,4,10,1,9,0,4,2,8,0
n38,0,4,10,1,9,0,4,0,8,0
n37,10,4,10,1,9,0,4,0,8,0
n46,0,0,0,6,9,2,0,8,3,10
n45,0,0,0,6,9,2,0,8,3,0
n48,0,0,0,6,9,2,2,8,0,0
n47,0,7,5,6,9,2,7,8,0,0
n52,0,1,0,6,9,10,0,8,0,0
n51,0,1,0,6,9,10,0,8,0,0
n54,8,0,0,6,9,10,0,8,0,0
n53,0,0,0,6,9,10,3,8,0,10
n60,8,9,0,8,9,0,5,8,5,4
n59,8,9,2,5,9,0,5,8,0,0
n62,8,0,1,0,9,5,5,8,0,0
n61,8,0,1,0,9,0,5,8,0,0
n66,8,5,0,0,9,0,0,8,0,4
n65,8,5,0,0,9,0,0,8,0,4
n68,8,0,0,0,9,0,3,8,2,4
n67,8,0,6,0,9,0,3,8,2,4
n78,2,8,0,8,9,6,9,2,10,1
n77,2,8,0,8,9,6,9,2,10,1
n80,2,8,0,8,9,6,9,2,10,1
n79,2,8,0,8,9,6,9,2,10,1
n84,2,8,9,8,9,6,9,2,8,1
n83,2,8,0,8,9,6,9,2,8,1
n86,2,8,0,8,9,6,9,2,0,1
n85,2,8,8,8,9,6,9,2,0,1
n92,2,8,8,8,9,5,0,2,9,1
n91,2,8,0,8,9,5,0,2,9,1
n94,2,8,10,8,9,5,0,2,9,1
n93,2,8,0,8,9,5,0,2,9,1
n98,2,8,7,8,9,5,3,2,0,1
n97,2,8,7,8,9,5,3,2,0,1
n100,2,8,0,8,9,5,1,2,10,1
n99,2,8,0,8,9,5,1,2,10,1
n108,2,8,10,6,9,3,4,10,9,4
n107,2,8,10,6,9,3,4,10,9,4
n110,2,8,0,6,9,3,4,9,9,4
n109,2,8,0,6,9,3,4,0,9,4
n114,2,8,0,6,9,0,4,0,0,5
n113,2,8,0,6,9,0,4,0,0,5
n116,2,8,8,6,9,0,4,6,0,5
n115,2,8,8,6,9,0,4,6,0,5
n122,2,8,1,6,9,0,4,8,0,0
n121,2,8,0,6,9,2,4,0,0,0
n124,2,8,7,6,9,0,4,5,0,0
n123,2,8,10,6,9,0,4,0,0,0
n128,2,8,4,6,9,0,4,6,0,0
n127,2,8,4,6,9,0,4,6,0,2
n130,2,8,4,6,9,0,4,6,7,0
n129,2,8,4,6,9,0,4,6,7,0
n142,0,0,0,0,9,6,8,0,2,0
n141,0,0,0,0,9,6,8,0,2,0
n144,0,0,0,2,9,6,8,0,0,9
n143,0,0,0,0,9,6,8,6,0,9
n148,0,3,7,5,9,6,8,0,0,0
n147,0,3,7,2,9,6,8,5,0,8
n150,0,1,7,3,9,6,8,0,0,6
n149,0,1,7,3,9,6,8,1,0,6
n156,0,7,0,3,9,6,8,2,0,0
n155,0,0,0,3,9,6,8,2,0,10
n158,9,6,0,3,9,6,8,2,0,0
n157,0,0,0,3,9,6,8,2,0,0
n162,5,0,0,3,9,6,8,2,10,9
n161,5,0,0,3,9,6,8,2,10,5
n164,5,9,7,3,9,6,8,2,10,0
n163,5,9,7,3,9,6,8,2,10,6
n172,0,0,5,0,9,6,8,0,5,4
n171,0,1,5,0,9,6,8,0,5,0
n174,0,0,7,9,9,6,8,0,0,0
n173,0,0,0,9,9,6,8,0,0,0
n178,0,0,10,7,9,6,8,6,0,6
n177,0,0,10,7,9,6,8,0,0,6
n180,0,0,0,7,9,6,8,0,3,6
n179,0,0,0,7,9,6,8,0,3,6
n186,6,0,5,6,9,6,8,5,0,9
n185,6,0,0,6,9,6,8,5,0,0
n188,6,8,10,6,9,6,8,5,0,0
n187,6,8,10,6,9,6,8,5,0,0
n192,6,0,0,10,9,6,8,5,0,8
n191,6,0,0,10,9,6,8,5,0,8
n194,6,2,0,10,9,6,8,5,0,5
n193,6,2,0,0,9,6,8,5,0,0
n204,8,8,0,0,9,6,0,0,0,0
n203,8,8,0,0,9,6,0,0,0,10
n206,8,8,6,0,9,6,1,4,0,0
n205,8,8,0,0,9,6,0,4,0,0
n210,8,8,0,2,9,6,0,0,5,7
n209,8,8,0,0,9,6,8,3,0,0
n212,8,8,0,0,9,6,2,8,0,0
n211,8,8,0,0,9,6,0,8,0,0
n218,8,8,8,4,9,6,3,0,2,10
n217,8,8,8,6,9,6,3,7,2,10
n220,8,8,8,9,9,6,3,9,3,10
n219,8,8,8,9,9,6,3,9,0,10
n224,8,8,8,3,9,6,3,0,6,0
n223,8,8,8,3,9,6,3,6,0,0
n226,8,8,8,0,9,6,3,0,0,0
n225,8,8,8,0,9,6,3,0,0,0
n234,2,9,4,3,9,6,5,10,2,2
n233,2,9,4,3,9,6,5,10,2,2
n236,0,9,4,2,9,6,8,10,2,2
n235,0,9,4,0,9,6,8,10,2,2
n240,0,9,4,0,9,6,0,10,2,2
n239,7,9,4,0,9,6,0,10,2,2
n242,0,9,4,0,9,6,0,10,2,2
n241,0,9,4,0,9,6,0,10,2,2
n248,1,0,4,7,9,6,0,10,2,0
n247,1,0,4,7,9,6,0,10,2,0
n250,1,0,4,7,9,6,0,10,2,0
n249,1,0,4,7,9,6,0,10,2,0
n254,1,9,4,9,9,6,0,10,2,9
n253,1,9,4,0,9,6,0,10,2,0
n256,1,9,4,6,9,6,0,10,2,0
n255,1,9,4,6,9,6,10,10,2,4
n270,7,2,0,4,6,9,2,2,9,5
n269,7,2,0,4,6,9,2,2,9,5
